agent_id,state,age_group,x,y,household_id
98,Recovered,adult,9,2,H_24
25,Recovered,adult,14,17,H_6
77,Recovered,child,4,16,H_19
90,Recovered,adult,11,8,H_22
97,Vaccinated,adult,9,2,H_24
87,Recovered,adult,12,5,H_21
9,Recovered,adult,3,18,H_2
6,Recovered,adult,3,18,H_1
49,Vaccinated,adult,15,18,H_12
40,Recovered,child,17,17,H_10
27,Recovered,child,14,17,H_6
1,Recovered,adult,5,15,H_0
73,Susceptible,adult,10,13,H_18
69,Recovered,child,16,6,H_17
39,Recovered,adult,1,4,H_9
26,Vaccinated,child,14,17,H_6
84,Recovered,child,12,5,H_21
95,Susceptible,senior,10,13,H_23
23,Recovered,adult,2,5,H_5
0,Recovered,child,5,15,H_0
75,Susceptible,senior,10,13,H_18
67,Recovered,adult,4,6,H_16
11,Recovered,adult,3,18,H_2
68,Recovered,adult,16,6,H_17
63,Recovered,adult,1,15,H_15
82,Recovered,adult,2,2,H_20
85,Recovered,adult,12,5,H_21
70,Vaccinated,adult,16,6,H_17
74,Recovered,adult,10,13,H_18
30,Vaccinated,adult,16,10,H_7
79,Recovered,child,4,16,H_19
32,Recovered,adult,10,7,H_8
43,Recovered,adult,17,17,H_10
86,Recovered,senior,12,5,H_21
81,Recovered,adult,2,2,H_20
4,Recovered,adult,3,18,H_1
89,Recovered,adult,11,8,H_22
2,Recovered,child,5,15,H_0
3,Recovered,adult,5,15,H_0
47,Vaccinated,adult,0,1,H_11
50,Recovered,adult,15,18,H_12
52,Recovered,adult,16,3,H_13
8,Recovered,adult,3,18,H_2
58,Recovered,adult,10,4,H_14
62,Recovered,senior,1,15,H_15
41,Recovered,adult,17,17,H_10
13,Recovered,adult,5,7,H_3
31,Recovered,child,16,10,H_7
33,Recovered,adult,10,7,H_8
54,Recovered,adult,16,3,H_13
66,Recovered,adult,4,6,H_16
55,Recovered,adult,16,3,H_13
37,Recovered,adult,1,4,H_9
64,Recovered,senior,4,6,H_16
34,Recovered,senior,10,7,H_8
96,Recovered,child,9,2,H_24
56,Recovered,senior,10,4,H_14
83,Recovered,adult,2,2,H_20
99,Recovered,child,9,2,H_24
78,Recovered,adult,4,16,H_19
71,Recovered,adult,16,6,H_17
5,Recovered,child,3,18,H_1
57,Recovered,child,10,4,H_14
61,Recovered,child,1,15,H_15
72,Susceptible,adult,10,13,H_18
80,Recovered,senior,2,2,H_20
20,Recovered,adult,2,5,H_5
36,Recovered,senior,1,4,H_9
18,Recovered,adult,17,19,H_4
29,Vaccinated,adult,16,10,H_7
19,Dead,adult,17,19,H_4
91,Recovered,adult,11,8,H_22
53,Recovered,child,16,3,H_13
92,Vaccinated,adult,10,13,H_23
48,Recovered,adult,15,18,H_12
94,Recovered,child,10,13,H_23
44,Recovered,child,0,1,H_11
21,Recovered,child,2,5,H_5
42,Recovered,adult,17,17,H_10
46,Recovered,child,0,1,H_11
45,Susceptible,adult,0,1,H_11
7,Recovered,adult,3,18,H_1
10,Recovered,child,3,18,H_2
65,Recovered,adult,4,6,H_16
60,Recovered,child,1,15,H_15
88,Recovered,senior,11,8,H_22
28,Susceptible,adult,16,10,H_7
17,Recovered,adult,17,19,H_4
35,Recovered,senior,10,7,H_8
14,Recovered,child,5,7,H_3
93,Vaccinated,adult,10,13,H_23
59,Recovered,child,10,4,H_14
51,Recovered,adult,15,18,H_12
22,Recovered,adult,2,5,H_5
76,Recovered,adult,4,16,H_19
24,Recovered,adult,14,17,H_6
15,Recovered,child,5,7,H_3
38,Recovered,adult,1,4,H_9
16,Vaccinated,adult,17,19,H_4
12,Recovered,adult,5,7,H_3
