Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections,HomeInfections,SchoolInfections,WorkInfections
0,69,9,3,0,0,0,19,12,9,3.0,1,8,1,8,0
1,65,12,3,0,0,1,19,16,4,1.0,0,4,1,3,0
2,64,3,9,0,0,5,19,17,1,0.07142857142857142,0,1,0,0,1
3,60,7,11,0,0,5,17,23,6,0.375,0,6,4,2,0
4,54,9,11,3,0,6,17,26,6,0.35294117647058826,0,6,0,0,6
5,52,5,16,3,0,8,16,29,3,0.125,0,3,3,0,0
6,44,11,19,4,0,7,15,37,9,0.34615384615384615,0,9,3,5,1
7,35,15,15,14,0,6,15,36,9,0.42857142857142855,0,9,3,6,0
8,34,6,22,16,0,7,15,35,1,0.034482758620689655,0,1,0,0,1
9,19,16,23,20,0,7,15,46,15,0.5,8,7,15,0,0
10,9,23,20,27,0,8,13,51,12,0.42857142857142855,10,2,12,0,0
11,8,7,31,30,0,11,13,49,1,0.023809523809523808,1,0,1,0,0
12,8,2,33,35,0,10,12,45,1,0.023255813953488372,0,1,1,0,0
13,8,1,24,45,0,10,12,35,0,0.0,0,0,0,0,0
14,8,1,21,50,0,9,11,31,1,0.03333333333333333,0,1,1,0,0
15,8,2,19,55,0,6,10,27,1,0.04,1,0,1,0,0
16,8,1,6,72,0,3,10,10,0,0.0,0,0,0,0,0
17,8,0,2,78,0,2,10,4,0,0.0,0,0,0,0,0
18,8,0,2,79,0,1,10,3,0,0.0,0,0,0,0,0
19,8,0,1,80,0,1,10,2,0,0.0,0,0,0,0,0
20,8,0,1,80,0,1,10,2,0,0.0,0,0,0,0,0
21,8,0,0,81,0,1,10,1,0,0.0,0,0,0,0,0
22,8,0,0,82,0,0,10,0,0,0.0,0,0,0,0,0
