agent_id,state,age_group,x,y,household_id,current_location_type
561,Recovered,child,65,65,H_187,school
239,Vaccinated,adult,80,23,H_79,work
1374,Vaccinated,adult,65,15,H_458,work
3557,Susceptible,senior,0,29,H_1185,work
1334,Vaccinated,adult,34,36,H_444,work
2716,Vaccinated,adult,87,50,H_905,work
4620,Vaccinated,senior,30,11,H_1540,home
4629,Vaccinated,adult,31,13,H_1543,work
654,Vaccinated,adult,5,8,H_218,work
1702,Vaccinated,adult,28,5,H_567,work
3174,Susceptible,child,75,20,H_1058,school
1283,Susceptible,adult,7,4,H_427,work
1137,Vaccinated,child,45,45,H_379,school
589,Vaccinated,adult,43,84,H_196,work
2209,Vaccinated,adult,5,22,H_736,work
1446,Vaccinated,adult,29,47,H_482,work
4116,Susceptible,senior,49,57,H_1372,work
2332,Susceptible,senior,56,51,H_777,work
1011,Susceptible,adult,79,23,H_337,work
4771,Vaccinated,adult,41,39,H_1590,work
2564,Recovered,child,10,10,H_854,school
1210,Vaccinated,child,45,45,H_403,school
3361,Vaccinated,adult,31,19,H_1120,work
4694,Susceptible,senior,70,0,H_1564,work
1361,Vaccinated,adult,33,73,H_453,work
2270,Vaccinated,adult,16,3,H_756,work
4462,Vaccinated,adult,10,49,H_1487,work
4977,Vaccinated,senior,73,0,H_1659,work
187,Susceptible,adult,30,79,H_62,work
2847,Vaccinated,child,65,65,H_949,school
612,Susceptible,adult,37,38,H_204,work
2066,Recovered,adult,39,51,H_688,work
3498,Vaccinated,adult,88,32,H_1166,work
2406,Susceptible,adult,42,55,H_802,work
1109,Vaccinated,adult,15,31,H_369,work
2966,Vaccinated,adult,87,15,H_988,work
3469,Vaccinated,adult,51,31,H_1156,work
1828,Vaccinated,senior,10,37,H_609,home
4156,Vaccinated,child,75,20,H_1385,school
1644,Vaccinated,child,75,20,H_548,school
2986,Susceptible,adult,74,43,H_995,work
1838,Susceptible,adult,68,80,H_612,work
3763,Vaccinated,adult,50,24,H_1254,work
2698,Susceptible,senior,22,28,H_899,work
4727,Susceptible,adult,87,80,H_1575,work
4447,Susceptible,adult,16,70,H_1482,work
4540,Vaccinated,senior,29,79,H_1513,home
46,Vaccinated,senior,54,85,H_15,work
1439,Susceptible,senior,46,38,H_479,work
4544,Vaccinated,adult,66,44,H_1514,work
3933,Vaccinated,adult,20,82,H_1311,work
4098,Vaccinated,adult,62,79,H_1366,work
4173,Vaccinated,adult,57,76,H_1391,work
3001,Vaccinated,adult,78,4,H_1000,work
506,Vaccinated,adult,25,52,H_168,work
2846,Vaccinated,adult,68,87,H_948,work
4360,Vaccinated,senior,39,51,H_1453,work
264,Vaccinated,child,75,20,H_88,school
2305,Susceptible,adult,37,58,H_768,work
1251,Vaccinated,adult,70,34,H_417,work
2686,Vaccinated,adult,7,73,H_895,work
4179,Vaccinated,senior,8,55,H_1393,work
77,Vaccinated,senior,86,89,H_25,work
996,Vaccinated,child,25,25,H_332,school
3363,Susceptible,child,75,20,H_1121,school
2458,Vaccinated,adult,78,80,H_819,work
1489,Vaccinated,adult,50,89,H_496,work
3285,Susceptible,senior,62,74,H_1095,work
2656,Susceptible,adult,54,37,H_885,work
2322,Vaccinated,adult,14,47,H_774,work
1077,Susceptible,adult,64,55,H_359,work
679,Vaccinated,adult,16,15,H_226,work
514,Susceptible,adult,62,45,H_171,work
3317,Vaccinated,adult,85,73,H_1105,work
4346,Susceptible,senior,76,51,H_1448,work
341,Susceptible,adult,11,75,H_113,work
4042,Vaccinated,senior,41,44,H_1347,home
842,Susceptible,child,65,65,H_280,school
1478,Susceptible,adult,70,22,H_492,work
3502,Vaccinated,adult,78,62,H_1167,work
2799,Susceptible,adult,13,46,H_933,work
3507,Susceptible,senior,46,32,H_1169,home
2662,Vaccinated,adult,0,37,H_887,work
303,Vaccinated,adult,65,22,H_101,work
2156,Susceptible,adult,4,30,H_718,work
3551,Susceptible,adult,47,86,H_1183,work
2919,Vaccinated,child,10,10,H_973,school
1231,Vaccinated,adult,45,47,H_410,work
3102,Vaccinated,adult,58,74,H_1034,work
4317,Vaccinated,adult,79,67,H_1439,work
2515,Vaccinated,adult,78,67,H_838,work
4208,Vaccinated,senior,7,86,H_1402,home
409,Vaccinated,adult,37,7,H_136,work
4634,Vaccinated,child,25,25,H_1544,school
554,Vaccinated,senior,56,32,H_184,work
4849,Susceptible,adult,46,29,H_1616,work
3935,Vaccinated,adult,13,14,H_1311,work
4504,Vaccinated,adult,54,31,H_1501,work
2831,Susceptible,adult,74,26,H_943,work
2150,Vaccinated,senior,29,55,H_716,work
730,Susceptible,adult,82,69,H_243,work
1069,Vaccinated,child,25,25,H_356,school
1188,Vaccinated,adult,49,62,H_396,work
4951,Susceptible,senior,89,60,H_1650,home
1558,Susceptible,adult,85,56,H_519,work
1167,Vaccinated,adult,18,45,H_389,work
1834,Recovered,child,10,10,H_611,school
3694,Vaccinated,child,10,10,H_1231,school
434,Vaccinated,adult,67,75,H_144,work
109,Vaccinated,adult,82,28,H_36,work
2920,Susceptible,adult,80,17,H_973,work
3829,Vaccinated,adult,48,45,H_1276,work
1847,Vaccinated,adult,65,87,H_615,work
2365,Vaccinated,adult,70,75,H_788,work
4566,Susceptible,senior,18,4,H_1522,work
4460,Vaccinated,adult,19,70,H_1486,work
3721,Susceptible,senior,64,29,H_1240,home
681,Susceptible,adult,53,72,H_227,work
1634,Vaccinated,adult,5,72,H_544,work
3378,Vaccinated,child,10,10,H_1126,school
281,Susceptible,adult,61,86,H_93,work
2278,Vaccinated,child,65,65,H_759,school
1371,Susceptible,senior,62,18,H_457,work
625,Recovered,child,65,65,H_208,school
242,Vaccinated,senior,88,65,H_80,work
4311,Susceptible,senior,40,85,H_1437,work
585,Vaccinated,adult,83,3,H_195,work
4744,Vaccinated,adult,17,18,H_1581,work
2534,Susceptible,adult,86,75,H_844,work
1624,Vaccinated,adult,63,53,H_541,work
149,Susceptible,child,25,25,H_49,school
4480,Susceptible,senior,44,35,H_1493,work
2093,Vaccinated,adult,39,2,H_697,work
3241,Vaccinated,senior,82,4,H_1080,work
2096,Vaccinated,child,25,25,H_698,school
2690,Vaccinated,child,65,65,H_896,school
3746,Vaccinated,adult,15,45,H_1248,work
597,Susceptible,child,25,25,H_199,school
