agent_id,state,age_group,x,y,household_id,current_location_type
89,Susceptible,adult,8,16,H_22,work
22,Vaccinated,senior,6,9,H_5,work
61,Vaccinated,senior,4,18,H_15,work
77,Susceptible,senior,9,7,H_19,work
87,Susceptible,adult,17,6,H_21,work
28,Susceptible,senior,17,14,H_7,work
8,Susceptible,adult,8,0,H_2,work
84,Susceptible,adult,19,5,H_21,work
49,Vaccinated,adult,14,15,H_12,work
13,Susceptible,senior,16,12,H_3,work
18,Susceptible,adult,16,3,H_4,work
7,Susceptible,adult,15,7,H_1,work
54,Susceptible,adult,17,13,H_13,work
0,Recovered,adult,6,10,H_0,work
35,Susceptible,adult,14,5,H_8,work
83,Susceptible,adult,8,12,H_20,work
23,Susceptible,child,15,15,H_5,school
65,Susceptible,adult,6,2,H_16,work
71,Susceptible,adult,10,4,H_17,work
4,Vaccinated,adult,6,9,H_1,work
38,Susceptible,adult,1,5,H_9,work
40,Susceptible,adult,2,19,H_10,work
19,Susceptible,adult,19,17,H_4,work
41,Susceptible,child,15,15,H_10,school
9,Susceptible,adult,13,17,H_2,work
47,Vaccinated,child,5,5,H_11,school
30,Vaccinated,adult,11,8,H_7,work
50,Susceptible,adult,14,2,H_12,work
16,Vaccinated,child,15,15,H_4,school
85,Susceptible,child,15,15,H_21,school
72,Susceptible,child,5,5,H_18,school
59,Vaccinated,child,5,5,H_14,school
86,Susceptible,child,5,5,H_21,school
11,Susceptible,adult,1,17,H_2,work
92,Vaccinated,senior,18,5,H_23,work
15,Vaccinated,adult,9,7,H_3,work
42,Susceptible,adult,18,1,H_10,work
45,Susceptible,adult,8,17,H_11,work
26,Vaccinated,child,5,5,H_6,school
52,Susceptible,senior,4,8,H_13,work
44,Vaccinated,adult,9,15,H_11,work
73,Susceptible,child,15,15,H_18,school
93,Vaccinated,adult,13,1,H_23,work
3,Susceptible,adult,6,18,H_0,work
60,Susceptible,adult,12,14,H_15,work
94,Susceptible,senior,4,1,H_23,work
56,Susceptible,adult,1,8,H_14,work
67,Susceptible,senior,14,6,H_16,work
12,Vaccinated,child,5,5,H_3,school
46,Susceptible,adult,13,9,H_11,work
75,Susceptible,adult,1,13,H_18,work
34,Susceptible,child,15,15,H_8,school
70,Vaccinated,adult,18,0,H_17,work
10,Vaccinated,adult,13,11,H_2,work
55,Susceptible,senior,5,7,H_13,work
63,Susceptible,senior,13,1,H_15,work
68,Susceptible,child,5,5,H_17,school
90,Susceptible,adult,17,1,H_22,work
82,Susceptible,child,15,15,H_20,school
58,Susceptible,child,5,5,H_14,school
31,Susceptible,adult,17,5,H_7,work
62,Susceptible,senior,9,14,H_15,work
36,Recovered,senior,7,10,H_9,work
57,Susceptible,child,15,15,H_14,school
39,Susceptible,adult,9,1,H_9,work
51,Susceptible,adult,2,2,H_12,work
27,Susceptible,adult,9,14,H_6,work
29,Vaccinated,child,15,15,H_7,school
79,Susceptible,child,5,5,H_19,school
95,Susceptible,adult,1,17,H_23,work
5,Susceptible,adult,6,5,H_1,work
1,Recovered,child,5,5,H_0,school
25,Susceptible,adult,17,3,H_6,work
43,Susceptible,child,5,5,H_10,school
78,Susceptible,adult,6,6,H_19,work
66,Susceptible,adult,1,17,H_16,work
69,Susceptible,adult,5,8,H_17,work
37,Susceptible,adult,9,15,H_9,work
14,Susceptible,adult,3,4,H_3,work
2,Recovered,adult,1,15,H_0,work
64,Susceptible,adult,14,14,H_16,work
6,Susceptible,child,5,5,H_1,school
96,Susceptible,adult,9,2,H_24,work
33,Susceptible,adult,18,1,H_8,work
80,Susceptible,adult,3,12,H_20,work
32,Susceptible,adult,8,19,H_8,work
91,Vaccinated,adult,4,4,H_22,work
48,Susceptible,adult,13,8,H_12,work
98,Susceptible,adult,16,10,H_24,work
76,Susceptible,child,5,5,H_19,school
88,Susceptible,adult,4,11,H_22,work
24,Susceptible,adult,19,2,H_6,work
53,Susceptible,adult,8,17,H_13,work
81,Susceptible,child,5,5,H_20,school
99,Susceptible,child,5,5,H_24,school
21,Susceptible,adult,12,4,H_5,work
97,Vaccinated,adult,2,17,H_24,work
17,Susceptible,adult,1,8,H_4,work
20,Susceptible,adult,19,13,H_5,work
74,Susceptible,adult,3,18,H_18,work
