Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt
0,77,1,3,0,0,0,19,4,1,0.3333333333333333
1,75,3,3,0,0,0,19,6,2,0.6666666666666666
2,75,1,5,0,0,0,19,6,0,0.0
3,73,2,6,0,0,0,19,8,2,0.3333333333333333
4,71,4,3,3,0,0,19,7,2,0.6666666666666666
5,71,1,4,3,0,2,19,7,0,0.0
6,68,3,4,3,0,3,19,10,3,0.42857142857142855
7,68,3,2,5,0,3,19,8,0,0.0
8,68,0,3,6,0,4,19,7,0,0.0
9,61,7,3,6,0,4,19,14,7,1.0
10,53,15,2,9,0,2,19,19,8,2.0
11,51,8,9,10,0,4,18,21,3,0.23076923076923078
12,51,1,14,10,0,6,18,21,0,0.0
13,49,3,13,13,0,5,17,21,3,0.16666666666666666
14,49,1,15,13,0,6,16,22,1,0.047619047619047616
15,49,1,16,13,0,6,15,23,1,0.045454545454545456
16,49,2,9,23,0,3,14,14,1,0.08333333333333333
17,49,0,5,30,0,2,14,7,0,0.0
18,49,0,4,31,0,2,14,6,0,0.0
19,49,0,2,34,0,1,14,3,0,0.0
20,41,9,1,35,0,1,13,11,9,4.5
21,41,5,4,35,0,2,13,11,0,0.0
22,40,1,6,37,0,3,13,10,1,0.1111111111111111
23,36,4,6,37,0,4,13,14,4,0.4
24,34,4,8,37,0,4,13,16,2,0.16666666666666666
25,32,2,11,37,0,5,13,18,2,0.125
26,32,1,9,41,0,4,13,14,0,0.0
27,32,0,7,46,0,2,13,9,0,0.0
28,31,2,7,47,0,1,12,10,2,0.25
29,25,6,7,49,0,1,12,14,6,0.75
30,22,9,4,53,0,0,12,13,3,0.75
31,21,3,7,54,0,3,12,13,1,0.1
32,21,1,8,55,0,3,12,12,0,0.0
33,19,2,9,55,0,3,12,14,2,0.16666666666666666
34,19,1,8,57,0,3,12,12,0,0.0
35,19,1,9,57,0,3,11,13,1,0.08333333333333333
36,19,0,6,64,0,0,11,6,0,0.0
37,19,0,4,66,0,0,11,4,0,0.0
38,19,0,3,67,0,0,11,3,0,0.0
39,19,0,2,68,0,0,11,2,0,0.0
40,19,0,1,69,0,0,11,1,0,0.0
41,19,0,0,70,0,0,11,0,0,0.0
