agent_id,state,age_group,x,y,household_id
4,Recovered,senior,6,7,H_1
98,Recovered,child,5,5,H_24
73,Recovered,child,5,5,H_18
12,Vaccinated,adult,1,16,H_3
67,Recovered,child,5,5,H_16
96,Recovered,child,15,15,H_24
54,Recovered,adult,12,5,H_13
34,Recovered,adult,3,0,H_8
24,Susceptible,senior,0,8,H_6
79,Recovered,adult,10,17,H_19
65,Recovered,child,15,15,H_16
40,Recovered,adult,5,11,H_10
86,Recovered,adult,18,7,H_21
37,Susceptible,adult,3,6,H_9
50,Susceptible,child,5,5,H_12
53,Susceptible,adult,16,2,H_13
59,Recovered,adult,11,5,H_14
1,Recovered,adult,8,17,H_0
32,Recovered,adult,3,12,H_8
21,Recovered,adult,15,14,H_5
47,Vaccinated,adult,1,17,H_11
0,Recovered,adult,2,6,H_0
90,Recovered,senior,2,6,H_22
5,Recovered,adult,1,6,H_1
94,Recovered,adult,9,5,H_23
33,Recovered,adult,6,14,H_8
30,Recovered,adult,13,5,H_7
80,Susceptible,adult,2,8,H_20
11,Recovered,adult,18,18,H_2
60,Recovered,senior,9,3,H_15
57,Recovered,adult,3,13,H_14
51,Recovered,child,15,15,H_12
17,Recovered,adult,15,12,H_4
10,Recovered,child,5,5,H_2
44,Recovered,senior,14,15,H_11
43,Recovered,adult,12,17,H_10
8,Recovered,adult,7,11,H_2
2,Recovered,senior,7,17,H_0
29,Vaccinated,child,15,15,H_7
23,Susceptible,adult,16,2,H_5
77,Recovered,adult,4,0,H_19
83,Susceptible,adult,1,13,H_20
99,Recovered,adult,15,6,H_24
6,Recovered,child,5,5,H_1
92,Vaccinated,adult,1,4,H_23
27,Susceptible,child,5,5,H_6
76,Recovered,adult,18,15,H_19
85,Recovered,adult,11,3,H_21
35,Recovered,adult,15,15,H_8
69,Recovered,adult,10,4,H_17
45,Susceptible,child,5,5,H_11
14,Recovered,adult,18,4,H_3
3,Recovered,child,15,15,H_0
82,Susceptible,adult,1,11,H_20
89,Recovered,senior,10,16,H_22
56,Recovered,adult,4,3,H_14
93,Vaccinated,adult,6,17,H_23
52,Susceptible,adult,1,2,H_13
58,Recovered,adult,11,2,H_14
16,Vaccinated,adult,5,8,H_4
63,Recovered,adult,14,4,H_15
42,Recovered,child,5,5,H_10
71,Recovered,adult,14,16,H_17
55,Susceptible,senior,4,4,H_13
26,Vaccinated,adult,17,5,H_6
25,Susceptible,adult,2,4,H_6
87,Recovered,adult,16,9,H_21
31,Recovered,adult,12,14,H_7
49,Vaccinated,adult,10,6,H_12
28,Recovered,child,15,15,H_7
62,Recovered,adult,2,16,H_15
9,Recovered,adult,12,15,H_2
68,Recovered,senior,4,7,H_17
7,Recovered,adult,4,12,H_1
61,Recovered,senior,6,2,H_15
95,Susceptible,adult,11,19,H_23
97,Recovered,child,15,15,H_24
64,Recovered,adult,6,18,H_16
15,Vaccinated,child,5,5,H_3
78,Recovered,senior,6,4,H_19
72,Recovered,adult,15,19,H_18
46,Recovered,adult,6,17,H_11
88,Recovered,adult,3,16,H_22
74,Recovered,adult,11,6,H_18
20,Susceptible,adult,4,1,H_5
22,Vaccinated,adult,19,2,H_5
36,Susceptible,child,5,5,H_9
41,Recovered,child,5,5,H_10
18,Recovered,child,15,15,H_4
19,Recovered,adult,13,11,H_4
48,Susceptible,adult,11,11,H_12
84,Recovered,senior,14,17,H_21
66,Recovered,senior,15,11,H_16
81,Susceptible,child,5,5,H_20
13,Recovered,adult,6,7,H_3
70,Vaccinated,adult,1,4,H_17
91,Recovered,child,15,15,H_22
75,Recovered,senior,15,7,H_18
39,Recovered,child,15,15,H_9
38,Susceptible,adult,19,17,H_9
