Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections,HomeInfections,SchoolInfections,WorkInfections,OtherInfections
0,77,1,3,0,0,0,19,4,1,0.3333333333333333,0,1,1,0,0,0
1,74,3,4,0,0,0,19,7,3,0.75,0,3,0,3,0,0
2,72,5,4,0,0,0,19,9,2,0.5,0,2,0,0,2,0
3,70,4,6,0,0,1,19,11,2,0.2857142857142857,0,2,0,2,0,0
4,69,3,4,3,0,2,19,9,1,0.16666666666666666,0,1,1,0,0,0
5,65,5,4,3,0,4,19,13,4,0.5,0,4,4,0,0,0
6,63,3,6,4,0,5,19,14,2,0.18181818181818182,0,2,2,0,0,0
7,63,1,7,4,0,6,19,14,0,0.0,0,0,0,0,0,0
8,60,4,6,7,0,5,18,15,4,0.36363636363636365,1,3,2,1,1,0
9,48,16,6,9,0,4,17,26,13,1.3,4,9,13,0,0,0
10,38,18,12,11,0,4,17,34,10,0.625,4,6,10,0,0,0
11,23,18,22,15,0,5,17,45,15,0.5555555555555556,9,6,15,0,0,0
12,19,15,27,17,0,8,14,50,7,0.2,2,5,7,0,0,0
13,19,5,32,18,0,14,12,51,2,0.043478260869565216,0,2,2,0,0,0
14,18,5,33,19,0,15,10,53,3,0.0625,2,1,3,0,0,0
15,18,1,29,27,0,15,10,45,0,0.0,0,0,0,0,0,0
16,18,1,17,42,0,13,9,31,1,0.03333333333333333,1,0,1,0,0,0
17,18,1,11,52,0,9,9,21,0,0.0,0,0,0,0,0,0
18,18,0,6,64,0,3,9,9,0,0.0,0,0,0,0,0,0
19,17,2,4,67,0,2,8,8,2,0.3333333333333333,0,2,0,0,2,0
20,16,1,3,71,0,1,8,5,1,0.25,0,1,0,0,1,0
21,16,0,2,72,0,2,8,4,0,0.0,0,0,0,0,0,0
22,16,0,2,72,0,2,8,4,0,0.0,0,0,0,0,0,0
23,16,0,1,73,0,2,8,3,0,0.0,0,0,0,0,0,0
24,16,0,1,73,0,2,8,3,0,0.0,0,0,0,0,0,0
25,16,0,0,75,0,1,8,1,0,0.0,0,0,0,0,0,0
26,16,0,0,76,0,0,8,0,0,0.0,0,0,0,0,0,0
