Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections,HomeInfections,SchoolInfections,WorkInfections,OtherInfections
0,77,1,3,0,0,0,19,4,1,0.3333333333333333,0,1,1,0,0,0
1,68,11,3,0,0,0,18,14,10,3.3333333333333335,0,10,0,9,1,0
2,68,3,9,0,0,2,18,14,0,0.0,0,0,0,0,0,0
3,62,7,11,0,0,3,17,21,7,0.5,1,6,3,4,0,0
4,61,5,9,3,0,5,17,19,1,0.07142857142857142,0,1,1,0,0,0
5,56,6,13,3,0,6,16,25,6,0.3157894736842105,0,6,4,1,1,0
6,54,5,16,3,0,6,16,27,2,0.09090909090909091,0,2,2,0,0,0
7,53,2,13,11,0,5,16,20,1,0.05555555555555555,0,1,1,0,0,0
8,53,3,12,14,0,4,14,19,2,0.125,0,2,0,1,1,0
9,40,14,13,17,0,2,14,29,13,0.8666666666666667,6,7,13,0,0,0
10,27,20,14,22,0,3,14,37,13,0.7647058823529411,9,4,13,0,0,0
11,17,18,20,25,0,8,12,46,12,0.42857142857142855,9,3,12,0,0,0
12,11,17,22,29,0,11,10,50,8,0.24242424242424243,8,0,8,0,0,0
13,10,5,30,30,0,16,9,51,2,0.043478260869565216,1,1,2,0,0,0
14,9,2,32,32,0,16,9,50,1,0.020833333333333332,1,0,1,0,0,0
15,8,1,28,39,0,15,9,44,1,0.023255813953488372,1,0,1,0,0,0
16,8,0,20,53,0,10,9,30,0,0.0,0,0,0,0,0,0
17,8,1,15,61,1,6,8,22,1,0.047619047619047616,0,1,1,0,0,0
18,8,1,6,75,1,1,8,8,0,0.0,0,0,0,0,0,0
19,7,1,3,79,1,1,8,5,1,0.25,0,1,1,0,0,0
20,7,1,2,81,1,0,8,3,0,0.0,0,0,0,0,0,0
21,7,0,2,82,1,0,8,2,0,0.0,0,0,0,0,0,0
22,7,0,2,82,1,0,8,2,0,0.0,0,0,0,0,0,0
23,7,0,2,82,1,0,8,2,0,0.0,0,0,0,0,0,0
24,7,0,1,83,1,0,8,1,0,0.0,0,0,0,0,0,0
25,7,0,1,83,1,0,8,1,0,0.0,0,0,0,0,0,0
26,7,0,0,84,1,0,8,0,0,0.0,0,0,0,0,0,0
