experiment_id,timestamp,scenario_name,output_dir,log_file,population,initial_infected,total_infections,peak_active_cases,attack_rate,case_fatality_rate,average_rt,secondary_infections,total_household_infections,total_community_infections,total_home_infections,total_school_infections,total_work_infections,total_other_infections,total_quarantined_agents,total_mask_protected_contacts,household_infection_share,community_infection_share,home_infection_share,school_infection_share,work_infection_share,other_infection_share,household_share_sum,location_share_sum,detection_rate,quarantine_rate,undetected_infections,undetected_rate,asymptomatic_rate_observed,child_vaccination_coverage,adult_vaccination_coverage,senior_vaccination_coverage,child_attack_rate,adult_attack_rate,senior_attack_rate,child_death_rate,adult_death_rate,senior_death_rate,total_vaccinations,vaccination_coverage,breakthrough_infection_rate,vaccinated_infection_rate,unvaccinated_infection_rate,observed_vaccine_effectiveness,lockdown_duration,school_closure_duration,mask_compliance_duration,testing_rate_duration,quarantine_compliance_duration,work_closure_duration,senior_mobility_reduction_duration,child_mobility_reduction_duration,vaccination_campaign_duration,batch_id,scenario_index,scenario_run,random_seed,scenario_description
48,2026-06-21_21-04-29,No school closure,outputs/experiment_048_2026-06-21_21-04-29,outputs/experiment_048_2026-06-21_21-04-29/logs/simulation.log,5000,18,1288,651,0.2576,0.0015527950310559005,0.011672677248527358,1270,71,1199,295,958,17,0,15623,693493,0.05590551181102362,0.9440944881889763,0.23228346456692914,0.7543307086614173,0.013385826771653543,0.0,1.0,1.0,0.2468944099378882,0.2468944099378882,970,0.7531055900621118,0.32065217391304346,0.041951219512195125,0.3599867285998673,0.3756503642039542,0.9502439024390243,0.07133377571333775,0.08428720083246619,0.0,0.0,0.002081165452653486,1921,0.3842,0.22488287350338365,0.22488287350338365,0.27801234166937316,0.19110471084472158,0,0,445,443,443,0,453,0,0,batch_2026-06-21_21-04-29,1,1,42,Schools remain open and child mobility is not reduced.
49,2026-06-21_21-05-18,No school closure,outputs/experiment_049_2026-06-21_21-05-18,outputs/experiment_049_2026-06-21_21-05-18/logs/simulation.log,5000,18,1282,474,0.2564,0.0015600624024961,0.010255016749026942,1264,89,1175,313,930,21,0,15857,708250,0.07041139240506329,0.9295886075949367,0.247626582278481,0.7357594936708861,0.01661392405063291,0.0,1.0,1.0,0.25273010920436817,0.25273010920436817,958,0.7472698907956318,0.30187207488299533,0.05190989226248776,0.3582834331337325,0.34121274409044194,0.9373163565132223,0.06919494344644045,0.10174717368961973,0.0,0.0,0.0020554984583761563,1831,0.3662,0.20152921900600765,0.20152921900600765,0.28810350268223417,0.30049715768889573,0,0,569,563,563,0,582,0,0,batch_2026-06-21_21-04-29,1,2,43,Schools remain open and child mobility is not reduced.
50,2026-06-21_21-06-28,No school closure,outputs/experiment_050_2026-06-21_21-06-28,outputs/experiment_050_2026-06-21_21-06-28/logs/simulation.log,5000,18,1236,558,0.2472,0.0008090614886731392,0.011502496181787083,1218,82,1136,284,915,19,0,14096,661680,0.06732348111658457,0.9326765188834154,0.23316912972085385,0.7512315270935961,0.015599343185550082,0.0,1.0,1.0,0.23705501618122976,0.23705501618122976,943,0.7629449838187702,0.29449838187702265,0.04742684157416751,0.3531746031746032,0.36446700507614216,0.9364278506559032,0.06316137566137567,0.10050761421319797,0.0,0.0,0.0010152284263959391,1869,0.3738,0.21134296415195292,0.21134296415195292,0.268604279782817,0.21318095034510742,0,0,539,538,538,0,548,0,0,batch_2026-06-21_21-04-29,1,3,44,Schools remain open and child mobility is not reduced.
51,2026-06-21_21-07-16,No school closure,outputs/experiment_051_2026-06-21_21-07-16,outputs/experiment_051_2026-06-21_21-07-16/logs/simulation.log,5000,18,1249,304,0.2498,0.008006405124099279,0.01120338639469803,1231,71,1160,264,948,19,0,14734,697951,0.057676685621445976,0.942323314378554,0.21445978878960195,0.7701056051990252,0.015434606011372868,0.0,1.0,1.0,0.24179343474779824,0.24179343474779824,947,0.7582065652522018,0.2986389111289031,0.041749502982107355,0.3530782029950083,0.35085945399393326,0.9473161033797217,0.0632279534109817,0.08897876643073811,0.0,0.0,0.010111223458038422,1858,0.3716,0.21959095801937567,0.21959095801937567,0.2676639083386378,0.17960191427243943,0,0,723,721,721,0,748,0,0,batch_2026-06-21_21-04-29,1,4,45,Schools remain open and child mobility is not reduced.
52,2026-06-21_21-08-13,No school closure,outputs/experiment_052_2026-06-21_21-08-13,outputs/experiment_052_2026-06-21_21-08-13/logs/simulation.log,5000,18,1262,429,0.2524,0.003961965134706815,0.010659401576644675,1244,69,1175,271,940,33,0,14755,718020,0.05546623794212219,0.9445337620578779,0.21784565916398713,0.7556270096463023,0.02652733118971061,0.0,1.0,1.0,0.24405705229793978,0.24405705229793978,954,0.7559429477020603,0.3098256735340729,0.04334677419354839,0.356360013284623,0.35907723169508526,0.9465725806451613,0.07173696446363334,0.08926780341023069,0.0,0.0,0.0050150451354062184,1905,0.381,0.226246719160105,0.226246719160105,0.2684975767366721,0.1573602938621842,0,0,587,571,571,0,595,0,0,batch_2026-06-21_21-04-29,1,5,46,Schools remain open and child mobility is not reduced.
53,2026-06-21_21-09-08,Senior protection,outputs/experiment_053_2026-06-21_21-09-08,outputs/experiment_053_2026-06-21_21-09-08/logs/simulation.log,5000,18,192,121,0.0384,0.010416666666666666,0.00911096115948796,174,20,154,61,103,10,0,122,21193,0.11494252873563218,0.8850574712643678,0.3505747126436782,0.5919540229885057,0.05747126436781609,0.0,1.0,1.0,0.06770833333333333,0.036458333333333336,179,0.9322916666666666,0.265625,0.36217303822937624,0.37643583852970136,0.37643378519290926,0.11468812877263582,0.012143091565474237,0.023983315954118872,0.0,0.0,0.0020855057351407717,1901,0.3802,0.017359284587059442,0.017359284587059442,0.051306873184898356,0.6616577173880679,0,273,0,0,0,0,460,273,0,batch_2026-06-21_21-04-29,2,1,47,Stronger protection of seniors through reduced senior mobility.
54,2026-06-21_21-09-40,Senior protection,outputs/experiment_054_2026-06-21_21-09-40,outputs/experiment_054_2026-06-21_21-09-40/logs/simulation.log,5000,18,537,119,0.1074,0.0148975791433892,0.01369974437434941,519,47,472,196,306,17,0,322,62853,0.0905587668593449,0.9094412331406551,0.37764932562620424,0.5895953757225434,0.03275529865125241,0.0,1.0,1.0,0.0893854748603352,0.04655493482309125,489,0.9106145251396648,0.2849162011173184,0.2805755395683453,0.37592219986586184,0.3263157894736842,0.3473792394655704,0.03688799463447351,0.06794258373205742,0.0,0.0,0.007655502392344498,1854,0.3708,0.06418554476806904,0.06418554476806904,0.13286713286713286,0.516919320956112,0,316,0,0,0,0,1400,316,0,batch_2026-06-21_21-04-29,2,2,48,Stronger protection of seniors through reduced senior mobility.
55,2026-06-21_21-11-06,Senior protection,outputs/experiment_055_2026-06-21_21-11-06,outputs/experiment_055_2026-06-21_21-11-06/logs/simulation.log,5000,18,706,123,0.1412,0.007082152974504249,0.014810604404061536,688,53,635,238,432,18,0,704,99312,0.07703488372093023,0.9229651162790697,0.34593023255813954,0.627906976744186,0.02616279069767442,0.0,1.0,1.0,0.09631728045325778,0.059490084985835696,638,0.9036827195467422,0.31444759206798867,0.25203252032520324,0.36695137976346914,0.35288065843621397,0.4888211382113821,0.042378449408672796,0.08024691358024691,0.0,0.000328515111695138,0.00411522633744856,1902,0.3804,0.10199789695057834,0.10199789695057834,0.16526791478373143,0.3828330375920084,0,245,0,0,0,0,1907,245,0,batch_2026-06-21_21-04-29,2,3,49,Stronger protection of seniors through reduced senior mobility.
56,2026-06-21_21-12-55,Senior protection,outputs/experiment_056_2026-06-21_21-12-55,outputs/experiment_056_2026-06-21_21-12-55/logs/simulation.log,5000,18,364,120,0.0728,0.008241758241758242,0.013385160784447132,346,26,320,128,214,4,0,363,45658,0.07514450867052024,0.9248554913294798,0.3699421965317919,0.6184971098265896,0.011560693641618497,0.0,1.0,0.9999999999999999,0.07967032967032966,0.04945054945054945,335,0.9203296703296703,0.30494505494505497,0.29073482428115016,0.376665583360416,0.34146341463414637,0.2523961661341853,0.024049398765030875,0.03556910569105691,0.0,0.0,0.003048780487804878,1849,0.3698,0.043807463493780424,0.043807463493780424,0.08981275785464932,0.512235627318367,0,237,0,0,0,0,940,237,0,batch_2026-06-21_21-04-29,2,4,50,Stronger protection of seniors through reduced senior mobility.
