agent_id,state,age_group,x,y,household_id,current_location_type
81,Susceptible,adult,19,3,H_20,work
22,Recovered,senior,12,18,H_5,work
77,Recovered,adult,19,10,H_19,work
37,Recovered,senior,16,17,H_9,work
0,Recovered,senior,16,10,H_0,work
87,Recovered,adult,7,0,H_21,work
72,Recovered,child,15,15,H_18,school
13,Recovered,adult,3,15,H_3,work
35,Recovered,senior,18,8,H_8,work
99,Susceptible,senior,17,17,H_24,work
42,Recovered,adult,4,6,H_10,work
69,Recovered,adult,18,13,H_17,work
25,Recovered,senior,14,16,H_6,work
86,Recovered,adult,7,6,H_21,work
21,Recovered,adult,1,14,H_5,work
52,Recovered,adult,11,4,H_13,work
64,Recovered,adult,9,7,H_16,work
92,Recovered,child,15,15,H_23,school
59,Recovered,child,15,15,H_14,school
54,Recovered,adult,16,15,H_13,work
65,Recovered,adult,11,2,H_16,work
78,Recovered,adult,19,6,H_19,work
44,Vaccinated,senior,19,10,H_11,work
23,Recovered,adult,4,1,H_5,work
41,Recovered,child,15,15,H_10,school
27,Recovered,adult,3,8,H_6,work
70,Recovered,adult,12,11,H_17,home
55,Recovered,senior,12,4,H_13,work
80,Susceptible,adult,9,12,H_20,work
88,Recovered,child,15,15,H_22,school
49,Recovered,adult,9,12,H_12,work
76,Recovered,adult,8,18,H_19,work
10,Recovered,senior,14,5,H_2,work
67,Recovered,child,15,15,H_16,school
96,Susceptible,senior,0,0,H_24,work
2,Recovered,adult,9,15,H_0,work
39,Recovered,senior,3,6,H_9,home
34,Recovered,adult,3,13,H_8,home
83,Susceptible,adult,11,6,H_20,work
32,Recovered,adult,3,13,H_8,home
97,Vaccinated,adult,17,17,H_24,work
58,Recovered,adult,0,17,H_14,work
50,Recovered,adult,15,4,H_12,work
4,Recovered,child,15,15,H_1,school
60,Recovered,child,5,5,H_15,school
79,Recovered,adult,15,8,H_19,work
33,Recovered,adult,10,16,H_8,work
17,Susceptible,adult,0,4,H_4,work
3,Recovered,senior,6,17,H_0,work
1,Recovered,adult,8,2,H_0,work
57,Recovered,child,15,15,H_14,school
31,Recovered,adult,11,9,H_7,work
51,Recovered,adult,12,14,H_12,work
18,Recovered,adult,2,18,H_4,work
68,Recovered,adult,5,11,H_17,work
90,Recovered,adult,8,12,H_22,work
89,Recovered,adult,3,6,H_22,work
63,Recovered,senior,17,7,H_15,work
16,Vaccinated,adult,14,7,H_4,work
84,Recovered,child,5,5,H_21,school
91,Vaccinated,adult,9,2,H_22,work
73,Susceptible,child,5,5,H_18,school
8,Recovered,adult,12,15,H_2,work
9,Recovered,child,15,15,H_2,school
94,Recovered,senior,0,1,H_23,work
26,Recovered,child,5,5,H_6,school
20,Recovered,adult,11,16,H_5,work
71,Recovered,adult,8,1,H_17,work
12,Vaccinated,adult,15,1,H_3,work
95,Recovered,adult,14,1,H_23,work
62,Recovered,adult,16,4,H_15,work
43,Recovered,adult,3,14,H_10,home
75,Susceptible,senior,10,6,H_18,work
66,Recovered,child,15,15,H_16,school
24,Recovered,child,15,15,H_6,school
53,Recovered,adult,10,15,H_13,work
6,Recovered,adult,15,16,H_1,work
56,Recovered,adult,15,10,H_14,work
14,Recovered,adult,7,11,H_3,work
15,Vaccinated,child,5,5,H_3,school
11,Recovered,adult,6,3,H_2,work
45,Susceptible,child,5,5,H_11,school
85,Recovered,adult,14,12,H_21,work
74,Susceptible,adult,19,2,H_18,work
19,Susceptible,adult,17,9,H_4,work
36,Recovered,child,15,15,H_9,school
28,Recovered,adult,17,8,H_7,work
46,Susceptible,senior,3,10,H_11,work
48,Recovered,adult,16,8,H_12,work
5,Recovered,child,15,15,H_1,school
98,Susceptible,child,5,5,H_24,school
82,Susceptible,adult,3,19,H_20,work
40,Recovered,adult,18,7,H_10,work
47,Vaccinated,child,15,15,H_11,school
61,Vaccinated,adult,2,3,H_15,work
93,Recovered,child,15,15,H_23,school
38,Recovered,adult,4,7,H_9,work
29,Vaccinated,child,5,5,H_7,school
7,Recovered,adult,9,1,H_1,work
30,Vaccinated,adult,18,5,H_7,work
