Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections,HomeInfections,SchoolInfections,WorkInfections,OtherInfections
0,76,2,3,0,0,0,19,5,2,0.6666666666666666,1,1,1,0,1,0
1,75,2,3,0,0,1,19,6,1,0.25,0,1,1,0,0,0
2,75,0,5,0,0,1,19,6,0,0.0,0,0,0,0,0,0
3,67,10,5,0,0,1,17,16,10,1.6666666666666667,0,10,10,0,0,0
4,63,9,5,3,0,3,17,17,4,0.5,0,4,4,0,0,0
5,61,4,9,3,0,6,17,19,2,0.13333333333333333,0,2,2,0,0,0
6,56,7,11,4,0,6,16,24,6,0.35294117647058826,1,5,4,1,1,0
7,54,5,13,6,0,6,16,24,2,0.10526315789473684,0,2,2,0,0,0
8,50,5,16,6,0,7,16,28,4,0.17391304347826086,0,4,4,0,0,0
9,40,10,17,11,0,6,16,33,10,0.43478260869565216,7,3,10,0,0,0
10,27,25,13,18,0,3,14,41,15,0.9375,13,2,15,0,0,0
11,22,14,24,21,0,6,13,44,6,0.2,6,0,6,0,0,0
12,17,9,29,25,0,8,12,46,6,0.16216216216216217,6,0,6,0,0,0
13,14,9,31,29,0,7,10,47,5,0.13157894736842105,2,3,5,0,0,0
14,14,0,34,34,0,8,10,42,0,0.0,0,0,0,0,0,0
15,14,0,34,34,0,8,10,42,0,0.0,0,0,0,0,0,0
16,14,0,21,51,0,4,10,25,0,0.0,0,0,0,0,0,0
17,14,0,12,62,0,2,10,14,0,0.0,0,0,0,0,0,0
18,14,0,7,67,0,2,10,9,0,0.0,0,0,0,0,0,0
19,14,0,0,76,0,0,10,0,0,0.0,0,0,0,0,0,0
