Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections
0,76,2,3,0,0,0,19,5,2,0.6666666666666666,1
1,73,4,3,0,0,2,18,9,4,0.8,0
2,70,6,3,0,0,3,18,12,3,0.5,0
3,65,8,6,0,0,3,18,17,5,0.5555555555555556,0
4,64,2,9,3,0,5,17,16,2,0.14285714285714285,0
5,59,6,10,3,0,5,17,21,5,0.3333333333333333,0
6,57,3,14,5,0,4,17,21,2,0.1111111111111111,0
7,57,2,15,6,0,3,17,20,0,0.0,0
8,54,5,13,9,0,4,15,22,5,0.29411764705882354,1
9,33,26,8,17,0,2,14,36,22,2.2,14
10,28,26,10,18,0,4,14,40,5,0.35714285714285715,5
11,17,12,24,23,0,10,14,46,11,0.3235294117647059,8
12,17,5,28,24,0,13,13,46,1,0.024390243902439025,1
13,16,1,30,26,0,14,13,45,1,0.022727272727272728,1
14,16,0,29,27,0,15,13,44,0,0.0,0
15,16,1,26,32,0,13,12,40,1,0.02564102564102564,1
16,16,2,8,57,0,6,11,16,1,0.07142857142857142,1
17,16,1,5,65,0,3,10,9,1,0.125,0
18,16,1,2,70,0,2,9,5,1,0.25,0
19,16,1,2,71,0,1,9,4,0,0.0,0
20,16,0,3,71,0,1,9,4,0,0.0,0
21,15,1,3,71,0,1,9,5,1,0.25,0
22,15,0,1,73,0,2,9,3,0,0.0,0
23,15,0,1,74,0,1,9,2,0,0.0,0
24,15,0,1,74,0,1,9,2,0,0.0,0
25,15,0,0,75,0,1,9,1,0,0.0,0
26,15,0,0,75,0,1,9,1,0,0.0,0
27,15,0,0,76,0,0,9,0,0,0.0,0
