agent_id,state,age_group,x,y,household_id
8,Recovered,adult,9,16,H_2
42,Recovered,adult,16,2,H_10
79,Recovered,adult,11,15,H_19
11,Recovered,adult,7,2,H_2
0,Recovered,adult,19,15,H_0
46,Recovered,adult,15,5,H_11
30,Recovered,adult,15,6,H_7
57,Recovered,adult,19,13,H_14
72,Recovered,adult,10,3,H_18
38,Recovered,adult,8,12,H_9
9,Recovered,adult,12,3,H_2
67,Recovered,adult,8,10,H_16
18,Susceptible,adult,17,12,H_4
49,Vaccinated,adult,13,19,H_12
7,Recovered,adult,18,11,H_1
21,Susceptible,adult,14,2,H_5
3,Recovered,adult,9,8,H_0
88,Recovered,adult,9,16,H_22
97,Vaccinated,adult,2,17,H_24
58,Recovered,senior,15,15,H_14
36,Recovered,adult,17,5,H_9
54,Recovered,senior,14,0,H_13
28,Recovered,child,5,5,H_7
89,Recovered,adult,9,17,H_22
40,Recovered,adult,4,15,H_10
31,Recovered,adult,15,18,H_7
12,Recovered,child,5,5,H_3
1,Recovered,child,5,5,H_0
66,Recovered,child,5,5,H_16
92,Vaccinated,adult,11,11,H_23
85,Recovered,senior,18,1,H_21
26,Recovered,adult,14,8,H_6
24,Recovered,adult,1,8,H_6
93,Vaccinated,adult,19,17,H_23
43,Recovered,adult,1,11,H_10
82,Recovered,child,15,15,H_20
27,Recovered,adult,9,5,H_6
53,Recovered,adult,5,14,H_13
90,Recovered,adult,5,18,H_22
19,Susceptible,adult,18,4,H_4
86,Recovered,senior,19,11,H_21
91,Recovered,senior,10,7,H_22
74,Recovered,adult,0,8,H_18
65,Recovered,child,5,5,H_16
34,Recovered,adult,10,5,H_8
47,Recovered,adult,15,5,H_11
83,Recovered,senior,9,10,H_20
37,Recovered,adult,15,9,H_9
63,Recovered,adult,5,6,H_15
80,Recovered,adult,17,13,H_20
17,Susceptible,adult,7,12,H_4
4,Recovered,child,5,5,H_1
16,Vaccinated,adult,19,5,H_4
23,Susceptible,child,15,15,H_5
68,Recovered,adult,14,19,H_17
76,Recovered,child,5,5,H_19
39,Recovered,adult,0,19,H_9
22,Vaccinated,child,15,15,H_5
84,Recovered,child,15,15,H_21
51,Susceptible,adult,4,10,H_12
25,Recovered,adult,4,2,H_6
32,Recovered,senior,3,19,H_8
33,Recovered,adult,7,9,H_8
71,Recovered,adult,2,18,H_17
5,Recovered,child,5,5,H_1
14,Recovered,adult,13,7,H_3
73,Recovered,child,15,15,H_18
6,Recovered,senior,5,17,H_1
61,Vaccinated,adult,10,15,H_15
59,Recovered,senior,5,12,H_14
45,Susceptible,adult,1,19,H_11
99,Susceptible,adult,18,15,H_24
48,Susceptible,adult,2,5,H_12
98,Susceptible,senior,9,15,H_24
81,Recovered,child,5,5,H_20
64,Recovered,child,15,15,H_16
10,Vaccinated,adult,2,3,H_2
94,Recovered,adult,1,13,H_23
20,Susceptible,senior,12,9,H_5
50,Susceptible,adult,6,18,H_12
75,Recovered,child,5,5,H_18
15,Recovered,child,5,5,H_3
13,Recovered,child,15,15,H_3
69,Recovered,adult,8,11,H_17
96,Susceptible,child,15,15,H_24
95,Susceptible,senior,3,4,H_23
2,Recovered,senior,11,2,H_0
41,Recovered,adult,16,17,H_10
29,Recovered,child,15,15,H_7
87,Recovered,child,5,5,H_21
78,Recovered,adult,8,3,H_19
55,Recovered,child,5,5,H_13
62,Recovered,adult,13,5,H_15
77,Recovered,child,15,15,H_19
70,Recovered,adult,16,7,H_17
52,Recovered,child,5,5,H_13
44,Vaccinated,adult,3,16,H_11
35,Recovered,adult,5,19,H_8
56,Recovered,adult,3,14,H_14
60,Susceptible,adult,1,0,H_15
