Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt
0,74,5,3,0,0,0,18,8,5,1.6666666666666667
1,71,8,3,0,0,0,18,11,3,1.0
2,71,2,7,0,0,2,18,11,0,0.0
3,61,10,8,0,0,3,18,21,10,0.9090909090909091
4,56,14,6,3,0,3,18,23,5,0.5555555555555556
5,49,11,14,3,0,6,17,31,8,0.4
6,41,17,18,3,0,6,15,41,10,0.4166666666666667
7,36,9,25,9,0,6,15,40,5,0.16129032258064516
8,31,9,30,11,0,5,14,44,6,0.17142857142857143
9,25,7,35,12,0,8,13,50,7,0.16279069767441862
10,20,10,29,23,0,5,13,44,5,0.14705882352941177
11,17,5,32,27,0,6,13,43,3,0.07894736842105263
12,15,3,25,40,0,4,13,32,2,0.06896551724137931
13,14,3,20,46,0,4,13,27,1,0.041666666666666664
14,13,1,17,55,0,1,13,19,1,0.05555555555555555
15,12,1,15,57,0,2,13,18,1,0.058823529411764705
16,12,1,8,65,0,1,13,10,0,0.0
17,12,0,5,69,0,1,13,6,0,0.0
18,12,0,4,70,0,1,13,5,0,0.0
19,12,0,1,73,0,1,13,2,0,0.0
20,12,0,1,74,0,0,13,1,0,0.0
21,12,0,1,74,0,0,13,1,0,0.0
22,12,0,0,75,0,0,13,0,0,0.0
