Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections,HomeInfections,SchoolInfections,WorkInfections,OtherInfections
0,77,1,3,0,0,0,19,4,1,0.3333333333333333,0,1,1,0,0,0
1,67,11,3,0,0,0,19,14,10,3.3333333333333335,0,10,0,10,0,0
2,67,1,11,0,0,3,18,15,1,0.07142857142857142,0,1,0,1,0,0
3,60,7,12,0,0,3,18,22,7,0.4666666666666667,0,7,7,0,0,0
4,57,6,13,3,0,3,18,22,3,0.1875,0,3,3,0,0,0
5,49,9,16,3,0,5,18,30,8,0.38095238095238093,1,7,8,0,0,0
6,44,12,18,3,0,6,17,36,6,0.25,0,6,4,0,2,0
7,42,6,13,14,0,8,17,27,2,0.09523809523809523,0,2,2,0,0,0
8,40,6,13,15,0,11,15,30,4,0.16666666666666666,0,4,2,2,0,0
9,31,11,11,19,0,14,14,36,10,0.4,3,7,10,0,0,0
10,22,20,9,24,0,12,13,41,10,0.47619047619047616,6,4,10,0,0,0
11,18,12,16,27,0,16,11,44,6,0.1875,5,1,6,0,0,0
12,16,5,23,35,0,11,10,39,3,0.08823529411764706,2,1,3,0,0,0
13,14,6,24,39,0,9,8,39,4,0.12121212121212122,3,1,4,0,0,0
14,13,7,23,44,0,8,5,38,4,0.12903225806451613,3,1,4,0,0,0
15,13,0,27,45,0,10,5,37,0,0.0,0,0,0,0,0,0
16,13,0,18,59,0,5,5,23,0,0.0,0,0,0,0,0,0
17,13,0,8,69,0,5,5,13,0,0.0,0,0,0,0,0,0
18,13,0,6,72,0,4,5,10,0,0.0,0,0,0,0,0,0
19,12,1,5,75,0,2,5,8,1,0.14285714285714285,0,1,0,0,1,0
20,12,1,0,82,0,0,5,1,0,0.0,0,0,0,0,0,0
21,12,0,1,82,0,0,5,1,0,0.0,0,0,0,0,0,0
22,11,1,1,82,0,0,5,2,1,1.0,0,1,1,0,0,0
23,11,1,1,82,0,0,5,2,0,0.0,0,0,0,0,0,0
24,11,0,2,82,0,0,5,2,0,0.0,0,0,0,0,0,0
25,10,1,2,82,0,0,5,3,1,0.5,1,0,0,0,1,0
26,10,1,1,83,0,0,5,2,0,0.0,0,0,0,0,0,0
27,10,0,2,83,0,0,5,2,0,0.0,0,0,0,0,0,0
28,10,0,2,83,0,0,5,2,0,0.0,0,0,0,0,0,0
29,10,0,1,84,0,0,5,1,0,0.0,0,0,0,0,0,0
30,10,0,1,84,0,0,5,1,0,0.0,0,0,0,0,0,0
31,10,0,1,84,0,0,5,1,0,0.0,0,0,0,0,0,0
32,10,0,0,85,0,0,5,0,0,0.0,0,0,0,0,0,0
