Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections
0,75,3,3,0,0,0,19,6,3,1.0,0,3
1,68,9,3,0,0,1,19,13,7,1.75,0,7
2,68,2,7,0,0,4,19,13,0,0.0,0,0
3,62,7,9,0,0,4,18,20,7,0.5384615384615384,0,7
4,59,5,8,3,0,7,18,20,3,0.2,0,3
5,57,4,11,3,0,8,17,23,3,0.15789473684210525,0,3
6,55,5,13,4,0,7,16,25,3,0.15,1,2
7,53,6,9,11,0,6,15,21,3,0.2,0,3
8,53,0,11,13,0,8,15,19,0,0.0,0,0
9,35,20,9,18,0,5,13,34,20,1.4285714285714286,11,9
10,28,25,7,22,0,5,13,37,7,0.5833333333333334,5,2
11,21,9,22,24,0,11,13,42,7,0.21212121212121213,7,0
12,15,12,25,26,0,11,11,48,8,0.2222222222222222,6,2
13,15,6,26,32,0,11,10,43,1,0.02702702702702703,1,0
14,15,2,28,32,0,14,9,44,1,0.023809523809523808,1,0
15,14,2,28,34,0,14,8,44,2,0.047619047619047616,0,2
16,14,2,11,57,0,9,7,22,1,0.05,1,0
17,14,2,8,62,0,8,6,18,1,0.0625,1,0
18,14,0,5,69,0,6,6,11,0,0.0,0,0
19,12,2,3,74,0,3,6,8,2,0.3333333333333333,0,2
20,12,2,2,76,0,2,6,6,0,0.0,0,0
21,12,0,4,77,0,1,6,5,0,0.0,0,0
22,12,0,4,78,0,0,6,4,0,0.0,0,0
23,12,0,2,80,0,0,6,2,0,0.0,0,0
24,12,0,2,80,0,0,6,2,0,0.0,0,0
25,12,0,2,80,0,0,6,2,0,0.0,0,0
26,12,0,0,82,0,0,6,0,0,0.0,0,0
