agent_id,state,age_group,x,y,household_id
63,Recovered,child,5,5,H_15
98,Susceptible,child,5,5,H_24
38,Susceptible,adult,17,6,H_9
73,Recovered,senior,7,2,H_18
42,Recovered,adult,13,17,H_10
71,Recovered,child,15,15,H_17
29,Recovered,adult,12,13,H_7
41,Recovered,adult,15,12,H_10
80,Recovered,adult,15,4,H_20
2,Recovered,adult,8,14,H_0
18,Recovered,senior,11,1,H_4
16,Recovered,adult,17,14,H_4
37,Susceptible,adult,5,8,H_9
64,Recovered,senior,11,14,H_16
74,Recovered,adult,1,16,H_18
17,Recovered,adult,16,11,H_4
82,Recovered,senior,10,11,H_20
15,Recovered,child,15,15,H_3
8,Recovered,adult,15,5,H_2
94,Recovered,adult,13,13,H_23
1,Recovered,adult,15,4,H_0
92,Recovered,child,15,15,H_23
0,Recovered,child,15,15,H_0
57,Susceptible,senior,2,0,H_14
84,Recovered,child,15,15,H_21
54,Recovered,adult,13,10,H_13
44,Vaccinated,adult,14,12,H_11
77,Recovered,senior,7,10,H_19
95,Recovered,adult,8,16,H_23
7,Recovered,adult,12,14,H_1
96,Recovered,child,15,15,H_24
56,Susceptible,senior,4,19,H_14
32,Recovered,adult,18,17,H_8
22,Recovered,adult,18,9,H_5
47,Recovered,adult,6,2,H_11
66,Recovered,senior,15,1,H_16
91,Recovered,adult,1,10,H_22
85,Recovered,adult,18,16,H_21
97,Vaccinated,adult,1,6,H_24
55,Recovered,adult,6,18,H_13
79,Recovered,adult,1,10,H_19
83,Recovered,child,5,5,H_20
21,Recovered,adult,7,4,H_5
33,Recovered,adult,4,14,H_8
90,Recovered,child,5,5,H_22
25,Recovered,senior,3,3,H_6
68,Recovered,adult,6,13,H_17
46,Recovered,adult,11,12,H_11
62,Recovered,adult,9,11,H_15
26,Recovered,adult,10,19,H_6
48,Recovered,adult,15,11,H_12
27,Recovered,child,5,5,H_6
53,Recovered,child,15,15,H_13
28,Recovered,child,5,5,H_7
93,Vaccinated,senior,6,9,H_23
70,Recovered,adult,17,2,H_17
35,Recovered,child,5,5,H_8
12,Recovered,child,5,5,H_3
61,Recovered,senior,19,0,H_15
99,Susceptible,adult,19,8,H_24
59,Vaccinated,adult,16,10,H_14
67,Recovered,adult,6,5,H_16
49,Vaccinated,adult,9,12,H_12
60,Recovered,adult,1,18,H_15
65,Recovered,senior,0,0,H_16
9,Susceptible,adult,2,9,H_2
23,Recovered,adult,10,6,H_5
50,Susceptible,adult,13,9,H_12
86,Susceptible,senior,12,18,H_21
43,Recovered,child,15,15,H_10
24,Recovered,adult,10,14,H_6
14,Recovered,child,15,15,H_3
34,Recovered,adult,6,4,H_8
31,Recovered,adult,2,19,H_7
3,Recovered,adult,17,7,H_0
5,Recovered,senior,13,5,H_1
78,Recovered,adult,16,8,H_19
13,Recovered,adult,15,5,H_3
75,Recovered,adult,11,3,H_18
40,Recovered,child,15,15,H_10
10,Vaccinated,adult,2,1,H_2
4,Recovered,adult,14,13,H_1
39,Susceptible,adult,13,4,H_9
36,Recovered,child,15,15,H_9
69,Recovered,adult,11,4,H_17
51,Susceptible,adult,13,2,H_12
89,Recovered,senior,11,6,H_22
52,Recovered,adult,5,2,H_13
30,Recovered,adult,8,8,H_7
87,Recovered,child,15,15,H_21
19,Recovered,adult,7,10,H_4
11,Recovered,senior,8,4,H_2
72,Recovered,senior,14,1,H_18
20,Recovered,adult,12,17,H_5
45,Recovered,adult,11,4,H_11
76,Recovered,child,15,15,H_19
81,Recovered,adult,8,9,H_20
6,Recovered,adult,6,5,H_1
58,Susceptible,child,5,5,H_14
88,Recovered,adult,5,16,H_22
