Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections,HomeInfections,SchoolInfections,WorkInfections,OtherInfections
0,75,3,3,0,0,0,19,6,3,1.0,1,2,2,0,1,0
1,67,10,3,0,0,1,19,14,8,2.0,0,8,1,7,0,0
2,66,3,6,0,0,6,19,15,1,0.08333333333333333,0,1,1,0,0,0
3,62,4,9,0,0,6,19,19,4,0.26666666666666666,0,4,1,3,0,0
4,58,5,8,3,0,7,19,20,4,0.26666666666666666,0,4,4,0,0,0
5,52,9,10,3,0,7,19,26,6,0.35294117647058826,0,6,6,0,0,0
6,49,10,12,4,0,7,18,29,4,0.21052631578947367,0,4,2,0,2,0
7,44,9,14,12,0,6,15,29,8,0.4,0,8,1,1,6,0
8,39,10,13,15,0,8,15,31,5,0.23809523809523808,0,5,0,0,5,0
9,31,12,14,18,0,10,15,36,8,0.3333333333333333,5,3,8,0,0,0
10,20,18,17,20,0,11,14,46,12,0.42857142857142855,8,4,12,0,0,0
11,17,8,27,23,0,12,13,47,4,0.10256410256410256,2,2,4,0,0,0
12,17,4,26,32,0,11,10,41,3,0.08108108108108109,3,0,3,0,0,0
13,17,0,27,36,0,10,10,37,0,0.0,0,0,0,0,0,0
14,17,0,24,42,0,7,10,31,0,0.0,0,0,0,0,0,0
15,17,1,19,48,0,6,9,26,1,0.04,0,1,1,0,0,0
16,17,0,7,62,0,5,9,12,0,0.0,0,0,0,0,0,0
17,17,0,3,69,0,2,9,5,0,0.0,0,0,0,0,0,0
18,17,0,0,73,0,1,9,1,0,0.0,0,0,0,0,0,0
19,16,1,0,73,0,1,9,2,1,1.0,0,1,0,0,1,0
20,16,0,1,73,0,1,9,2,0,0.0,0,0,0,0,0,0
21,16,0,1,74,0,0,9,1,0,0.0,0,0,0,0,0,0
22,16,0,1,74,0,0,9,1,0,0.0,0,0,0,0,0,0
23,15,1,1,74,0,0,9,2,1,1.0,0,1,1,0,0,0
24,15,0,2,74,0,0,9,2,0,0.0,0,0,0,0,0,0
25,15,0,1,75,0,0,9,1,0,0.0,0,0,0,0,0,0
26,15,0,1,75,0,0,9,1,0,0.0,0,0,0,0,0,0
27,15,0,1,75,0,0,9,1,0,0.0,0,0,0,0,0,0
28,15,0,1,75,0,0,9,1,0,0.0,0,0,0,0,0,0
29,15,0,0,76,0,0,9,0,0,0.0,0,0,0,0,0,0
