agent_id,state,age_group,x,y,household_id,current_location_type
24,Susceptible,adult,15,7,H_6,home
44,Vaccinated,adult,19,5,H_11,home
87,Recovered,child,12,11,H_21,home
72,Recovered,adult,17,18,H_18,home
28,Recovered,senior,1,16,H_7,home
8,Recovered,senior,19,19,H_2,home
46,Recovered,senior,19,5,H_11,home
94,Recovered,adult,10,12,H_23,home
41,Recovered,child,9,6,H_10,home
26,Vaccinated,adult,15,7,H_6,home
21,Recovered,adult,14,5,H_5,home
52,Recovered,senior,0,15,H_13,home
64,Recovered,adult,4,8,H_16,home
15,Vaccinated,adult,17,19,H_3,home
82,Recovered,adult,13,15,H_20,home
7,Recovered,adult,3,17,H_1,home
59,Recovered,child,15,5,H_14,home
55,Recovered,adult,0,15,H_13,home
76,Susceptible,adult,3,15,H_19,home
4,Recovered,adult,3,17,H_1,home
83,Recovered,adult,13,15,H_20,home
81,Recovered,child,13,15,H_20,home
77,Recovered,child,3,15,H_19,home
12,Recovered,adult,17,19,H_3,home
22,Recovered,adult,14,5,H_5,home
73,Recovered,adult,17,18,H_18,home
36,Recovered,child,6,19,H_9,home
98,Recovered,adult,9,14,H_24,home
66,Susceptible,adult,4,8,H_16,home
14,Recovered,child,17,19,H_3,home
43,Susceptible,adult,9,6,H_10,home
13,Recovered,child,17,19,H_3,home
60,Recovered,adult,0,0,H_15,home
34,Recovered,child,3,13,H_8,home
93,Vaccinated,child,10,12,H_23,home
33,Recovered,child,3,13,H_8,home
5,Recovered,child,3,17,H_1,home
62,Recovered,child,0,0,H_15,home
58,Recovered,child,15,5,H_14,home
85,Recovered,adult,12,11,H_21,home
79,Susceptible,adult,3,15,H_19,home
35,Recovered,adult,3,13,H_8,home
19,Recovered,child,17,17,H_4,home
30,Recovered,senior,1,16,H_7,home
51,Susceptible,senior,7,9,H_12,home
0,Recovered,adult,12,2,H_0,home
91,Vaccinated,senior,8,3,H_22,home
1,Recovered,child,12,2,H_0,home
40,Susceptible,adult,9,6,H_10,home
32,Recovered,child,3,13,H_8,home
69,Recovered,adult,7,11,H_17,home
38,Recovered,adult,6,19,H_9,home
50,Recovered,child,7,9,H_12,home
78,Susceptible,senior,3,15,H_19,home
45,Recovered,adult,19,5,H_11,home
99,Recovered,adult,9,14,H_24,home
23,Recovered,adult,14,5,H_5,home
18,Recovered,adult,17,17,H_4,home
3,Recovered,senior,12,2,H_0,home
20,Recovered,adult,14,5,H_5,home
25,Susceptible,child,15,7,H_6,home
53,Recovered,senior,0,15,H_13,home
67,Recovered,adult,4,8,H_16,home
27,Susceptible,child,15,7,H_6,home
49,Vaccinated,adult,7,9,H_12,home
56,Recovered,adult,15,5,H_14,home
47,Recovered,child,19,5,H_11,home
29,Recovered,adult,1,16,H_7,home
2,Recovered,child,12,2,H_0,home
11,Recovered,adult,19,19,H_2,home
92,Vaccinated,senior,10,12,H_23,home
57,Recovered,adult,15,5,H_14,home
31,Recovered,senior,1,16,H_7,home
96,Recovered,senior,9,14,H_24,home
84,Recovered,adult,12,11,H_21,home
68,Recovered,adult,7,11,H_17,home
39,Recovered,adult,6,19,H_9,home
17,Recovered,adult,17,17,H_4,home
61,Vaccinated,adult,0,0,H_15,home
89,Recovered,child,8,3,H_22,home
16,Recovered,child,17,17,H_4,home
37,Recovered,adult,6,19,H_9,home
54,Recovered,adult,0,15,H_13,home
65,Susceptible,adult,4,8,H_16,home
97,Vaccinated,adult,9,14,H_24,home
48,Susceptible,adult,7,9,H_12,home
88,Recovered,child,8,3,H_22,home
86,Recovered,senior,12,11,H_21,home
95,Susceptible,child,10,12,H_23,home
6,Recovered,child,3,17,H_1,home
80,Recovered,child,13,15,H_20,home
74,Recovered,senior,17,18,H_18,home
10,Recovered,adult,19,19,H_2,home
63,Recovered,adult,0,0,H_15,home
70,Recovered,adult,7,11,H_17,home
42,Susceptible,senior,9,6,H_10,home
71,Recovered,child,7,11,H_17,home
90,Susceptible,adult,8,3,H_22,home
9,Recovered,child,19,19,H_2,home
75,Recovered,child,17,18,H_18,home
