Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections,HomeInfections,SchoolInfections,WorkInfections,OtherInfections,MaskProtectedContacts,QuarantinedAgents,DetectedInfected,UndetectedInfected,LockdownActive,LockdownStartStep,SchoolClosedActive,MaskComplianceActive,TestingRateActive,QuarantineComplianceActive,WorkClosedActive,SeniorMobilityActive,ChildMobilityActive,VaccinationCampaignActive,NewVaccinations
0,3151,0,18,0,0,0,1831,18,0,0.0,0,0,0,0,0,0,40,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
1,3151,0,18,0,0,0,1831,18,0,0.0,0,0,0,0,0,0,67,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
2,3151,1,18,0,0,0,1830,19,1,0.05555555555555555,0,1,0,1,0,0,134,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
3,3151,2,18,0,0,0,1829,20,1,0.05555555555555555,0,1,0,1,0,0,44,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
4,3149,4,18,0,0,0,1829,22,2,0.1111111111111111,0,2,0,2,0,0,129,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
5,3149,4,18,0,0,0,1829,22,0,0.0,0,0,0,0,0,0,129,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
6,3147,7,18,0,0,0,1828,25,3,0.16666666666666666,0,3,0,3,0,0,142,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
7,3146,8,18,0,0,0,1828,26,1,0.05555555555555555,0,1,0,1,0,0,141,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
8,3146,8,18,0,0,0,1828,26,0,0.0,0,0,0,0,0,0,58,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
9,3146,8,18,0,0,0,1828,26,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
10,3146,8,18,0,0,0,1828,26,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
11,3146,8,18,0,0,0,1828,26,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
12,3146,8,18,0,0,0,1828,26,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
13,3146,8,18,0,0,0,1828,26,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
14,3146,8,18,0,0,0,1828,26,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
15,3146,9,18,0,0,0,1827,27,1,0.05555555555555555,0,1,1,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
16,3146,9,18,0,0,0,1827,27,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
17,3146,9,18,0,0,0,1827,27,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
18,3146,9,18,0,0,0,1827,27,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
19,3146,9,18,0,0,0,1827,27,0,0.0,0,0,0,0,0,0,58,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
20,3146,9,18,0,0,0,1827,27,0,0.0,0,0,0,0,0,0,70,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
21,3146,9,18,0,0,0,1827,27,0,0.0,0,0,0,0,0,0,67,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
22,3146,9,18,0,0,0,1827,27,0,0.0,0,0,0,0,0,0,146,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
23,3146,9,18,0,0,0,1827,27,0,0.0,0,0,0,0,0,0,106,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
24,3145,10,18,0,0,0,1827,28,1,0.05555555555555555,0,1,0,1,0,0,81,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
25,3144,11,18,0,0,0,1827,29,1,0.05555555555555555,0,1,0,1,0,0,107,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
26,3144,11,18,0,0,0,1827,29,0,0.0,0,0,0,0,0,0,132,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
27,3144,11,18,0,0,0,1827,29,0,0.0,0,0,0,0,0,0,85,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
28,3144,11,18,0,0,0,1827,29,0,0.0,0,0,0,0,0,0,67,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
29,3144,11,18,0,0,0,1827,29,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
30,3144,11,18,0,0,0,1827,29,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
31,3144,11,18,0,0,0,1827,29,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
32,3144,11,18,0,0,0,1827,29,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
33,3144,11,18,0,0,0,1827,29,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
34,3144,11,18,0,0,0,1827,29,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
35,3144,11,18,0,0,0,1827,29,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
36,3144,11,18,0,0,0,1827,29,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
37,3144,11,18,0,0,0,1827,29,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
38,3144,11,18,0,0,0,1827,29,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
39,3144,11,18,0,0,0,1827,29,0,0.0,0,0,0,0,0,0,47,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
40,3142,13,18,0,0,0,1827,31,2,0.1111111111111111,0,2,0,2,0,0,61,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
41,3142,13,18,0,0,0,1827,31,0,0.0,0,0,0,0,0,0,102,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
42,3142,11,18,0,0,2,1827,31,0,0.0,0,0,0,0,0,0,151,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
43,3142,10,18,0,0,3,1827,31,0,0.0,0,0,0,0,0,0,176,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
44,3140,11,19,0,0,3,1827,33,2,0.09090909090909091,0,2,1,1,0,0,216,0,1,18,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
45,3139,9,21,0,0,4,1827,34,1,0.04,0,1,0,1,0,0,225,0,1,20,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
46,3136,12,21,0,0,4,1827,37,3,0.12,0,3,0,3,0,0,322,0,1,20,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
47,3136,11,21,0,0,5,1827,37,0,0.0,0,0,0,0,0,0,287,0,1,20,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
48,3135,12,21,0,0,5,1827,38,1,0.038461538461538464,0,1,0,1,0,0,347,0,1,20,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
49,3135,12,21,0,0,5,1827,38,0,0.0,0,0,0,0,0,0,0,0,1,20,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
50,3135,12,21,0,0,5,1827,38,0,0.0,0,0,0,0,0,0,0,0,1,20,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
51,3135,12,21,0,0,5,1827,38,0,0.0,0,0,0,0,0,0,0,1,1,20,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
52,3135,12,21,0,0,5,1827,38,0,0.0,0,0,0,0,0,0,0,0,1,20,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
53,3135,12,21,0,0,5,1827,38,0,0.0,0,0,0,0,0,0,0,0,1,20,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
54,3135,11,22,0,0,5,1827,38,0,0.0,0,0,0,0,0,0,0,0,1,21,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
55,3135,11,22,0,0,5,1827,38,0,0.0,0,0,0,0,0,0,0,1,1,21,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
56,3135,11,22,0,0,5,1827,38,0,0.0,0,0,0,0,0,0,0,1,1,21,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
57,3135,11,22,0,0,5,1827,38,0,0.0,0,0,0,0,0,0,0,0,1,21,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
58,3135,11,22,0,0,5,1827,38,0,0.0,0,0,0,0,0,0,0,0,1,21,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
59,3135,12,22,0,0,5,1826,39,1,0.037037037037037035,0,1,0,1,0,0,157,1,1,21,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
60,3135,12,22,0,0,5,1826,39,0,0.0,0,0,0,0,0,0,232,1,1,21,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
61,3134,14,22,0,0,5,1825,41,2,0.07407407407407407,0,2,0,2,0,0,359,0,1,21,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
62,3131,17,22,0,0,5,1825,44,3,0.1111111111111111,0,3,0,2,1,0,273,1,1,21,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
63,3129,19,22,0,0,5,1825,46,2,0.07407407407407407,0,2,0,2,0,0,206,1,1,21,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
64,3129,18,24,0,0,5,1824,47,1,0.034482758620689655,0,1,0,1,0,0,293,0,1,23,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
65,3128,19,24,0,0,5,1824,48,1,0.034482758620689655,0,1,0,1,0,0,304,1,1,23,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
66,3127,21,24,0,0,5,1823,50,2,0.06896551724137931,0,2,0,2,0,0,340,0,1,23,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
67,3127,21,24,0,0,5,1823,50,0,0.0,0,0,0,0,0,0,362,0,1,23,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
68,3127,23,24,0,0,5,1821,52,2,0.06896551724137931,0,2,0,2,0,0,397,0,1,23,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
69,3127,23,24,0,0,5,1821,52,0,0.0,0,0,0,0,0,0,0,1,1,23,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
70,3127,23,24,0,0,5,1821,52,0,0.0,0,0,0,0,0,0,0,1,1,23,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
71,3127,23,24,0,0,5,1821,52,0,0.0,0,0,0,0,0,0,0,1,1,23,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
72,3127,23,24,0,0,5,1821,52,0,0.0,0,0,0,0,0,0,0,1,1,23,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
73,3127,23,24,0,0,5,1821,52,0,0.0,0,0,0,0,0,0,0,0,1,23,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
74,3127,23,24,0,0,5,1821,52,0,0.0,0,0,0,0,0,0,0,1,1,23,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
75,3127,23,24,0,0,5,1821,52,0,0.0,0,0,0,0,0,0,0,0,1,23,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
76,3127,23,24,0,0,5,1821,52,0,0.0,0,0,0,0,0,0,0,0,1,23,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
77,3127,23,24,0,0,5,1821,52,0,0.0,0,0,0,0,0,0,0,0,1,23,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
78,3127,23,24,0,0,5,1821,52,0,0.0,0,0,0,0,0,0,0,1,1,23,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
79,3127,21,26,0,0,5,1821,52,0,0.0,0,0,0,0,0,0,210,0,1,25,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
80,3125,23,26,0,0,5,1821,54,2,0.06451612903225806,0,2,0,2,0,0,434,0,1,25,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
81,3124,24,26,0,0,5,1821,55,1,0.03225806451612903,0,1,0,1,0,0,411,0,1,25,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
82,3124,24,26,0,0,5,1821,55,0,0.0,0,0,0,0,0,0,418,0,1,25,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
83,3123,24,26,0,0,6,1821,56,1,0.03125,0,1,0,1,0,0,399,0,1,25,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
84,3119,26,28,0,0,6,1821,60,4,0.11764705882352941,0,4,0,3,1,0,388,0,1,27,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
85,3117,25,31,0,0,6,1821,62,2,0.05405405405405406,0,2,0,2,0,0,472,1,1,30,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
86,3116,26,31,0,0,6,1821,63,1,0.02702702702702703,0,1,0,1,0,0,464,0,1,30,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
87,3115,27,31,0,0,6,1821,64,1,0.02702702702702703,0,1,0,1,0,0,557,0,1,30,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
88,3113,29,31,0,0,7,1820,67,3,0.07894736842105263,0,3,0,3,0,0,577,0,1,30,0,-1,0,0.15,0.15,0.3,0,0.85,1.0,0,0
