Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections,HomeInfections,SchoolInfections,WorkInfections,OtherInfections
0,75,3,3,0,0,0,19,6,3,1.0,1,2,3,0,0,0
1,75,2,3,0,0,1,19,6,0,0.0,0,0,0,0,0,0
2,67,8,5,0,0,1,19,14,8,1.3333333333333333,0,8,0,8,0,0
3,56,19,5,0,0,1,19,25,11,1.8333333333333333,1,10,3,3,5,0
4,54,10,9,3,0,5,19,24,2,0.14285714285714285,0,2,0,0,2,0
5,43,12,18,3,0,5,19,35,11,0.4782608695652174,0,11,10,1,0,0
6,38,15,22,4,0,6,15,43,9,0.32142857142857145,2,7,4,5,0,0
7,37,6,26,6,0,10,15,42,1,0.027777777777777776,0,1,1,0,0,0
8,36,2,29,6,0,13,14,44,2,0.047619047619047616,0,2,2,0,0,0
9,20,18,23,17,0,10,12,51,18,0.5454545454545454,12,6,18,0,0,0
10,12,26,15,26,0,10,11,51,9,0.36,6,3,9,0,0,0
11,11,7,27,32,0,12,11,46,1,0.02564102564102564,1,0,1,0,0,0
12,9,2,26,42,0,10,11,38,2,0.05555555555555555,2,0,2,0,0,0
13,9,1,24,48,0,7,11,32,0,0.0,0,0,0,0,0,0
14,9,0,23,50,0,7,11,30,0,0.0,0,0,0,0,0,0
15,9,1,22,51,0,7,10,30,1,0.034482758620689655,1,0,1,0,0,0
16,9,0,7,71,0,3,10,10,0,0.0,0,0,0,0,0,0
17,9,0,2,78,0,1,10,3,0,0.0,0,0,0,0,0,0
18,9,0,1,79,0,1,10,2,0,0.0,0,0,0,0,0,0
19,9,0,1,80,0,0,10,1,0,0.0,0,0,0,0,0,0
20,9,0,1,80,0,0,10,1,0,0.0,0,0,0,0,0,0
21,9,0,0,81,0,0,10,0,0,0.0,0,0,0,0,0,0
