Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt
0,74,4,3,0,0,0,19,7,4,1.3333333333333333
1,73,1,7,0,0,0,19,8,1,0.14285714285714285
2,60,13,8,0,0,0,19,21,13,1.625
3,57,11,11,0,0,3,18,25,4,0.2857142857142857
4,48,12,14,3,0,6,17,32,10,0.5
5,37,16,17,3,0,10,17,43,11,0.4074074074074074
6,33,13,20,6,1,13,14,46,7,0.21212121212121213
7,31,4,28,7,1,16,13,48,3,0.06818181818181818
8,27,6,26,13,1,14,13,46,4,0.1
9,22,7,24,22,1,11,13,42,5,0.14285714285714285
10,16,10,24,29,1,8,12,42,7,0.21875
11,14,7,21,39,1,7,11,35,3,0.10714285714285714
12,12,5,16,51,1,5,10,26,3,0.14285714285714285
13,12,1,16,53,1,7,10,24,0,0.0
14,12,0,13,57,1,7,10,20,0,0.0
15,12,0,10,61,1,6,10,16,0,0.0
16,12,0,6,67,1,4,10,10,0,0.0
17,12,0,2,72,1,3,10,5,0,0.0
18,12,0,1,76,1,0,10,1,0,0.0
19,12,0,0,77,1,0,10,0,0,0.0
