agent_id,state,age_group,x,y,household_id,current_location_type
976,Recovered,child,10,10,H_325,school
2076,Recovered,adult,40,1,H_692,work
1128,Susceptible,adult,14,53,H_376,work
896,Susceptible,adult,17,10,H_298,work
3199,Vaccinated,adult,8,2,H_1066,work
2655,Susceptible,adult,42,68,H_885,work
3828,Vaccinated,adult,33,37,H_1276,work
3576,Recovered,child,25,25,H_1192,school
3193,Susceptible,adult,18,30,H_1064,work
1893,Vaccinated,senior,1,87,H_631,work
4748,Susceptible,adult,33,46,H_1582,work
2599,Recovered,senior,36,22,H_866,work
3190,Vaccinated,adult,63,55,H_1063,work
823,Susceptible,adult,42,59,H_274,work
3017,Recovered,child,25,25,H_1005,school
122,Susceptible,adult,31,19,H_40,work
4555,Recovered,adult,46,46,H_1518,work
3629,Susceptible,adult,31,10,H_1209,work
1822,Vaccinated,adult,40,66,H_607,work
552,Susceptible,senior,9,68,H_184,home
2347,Recovered,child,65,65,H_782,school
1825,Recovered,child,45,45,H_608,school
4922,Recovered,child,75,20,H_1640,school
4387,Recovered,adult,33,46,H_1462,work
492,Susceptible,adult,27,57,H_164,work
2765,Susceptible,adult,29,88,H_921,work
126,Vaccinated,adult,53,62,H_42,work
1363,Vaccinated,adult,53,60,H_454,work
4558,Susceptible,adult,77,24,H_1519,work
366,Vaccinated,adult,86,75,H_122,work
982,Recovered,child,10,10,H_327,school
523,Recovered,child,10,10,H_174,school
2676,Recovered,child,65,65,H_892,school
3288,Recovered,adult,83,5,H_1096,work
3952,Susceptible,adult,19,16,H_1317,work
3776,Vaccinated,senior,88,62,H_1258,home
3306,Vaccinated,adult,21,29,H_1102,work
1061,Vaccinated,adult,87,69,H_353,work
3613,Vaccinated,adult,38,52,H_1204,work
3111,Susceptible,adult,16,62,H_1037,work
3003,Vaccinated,adult,15,42,H_1001,work
46,Recovered,child,65,65,H_15,school
1266,Susceptible,adult,82,78,H_422,work
1563,Recovered,senior,58,30,H_521,work
4831,Susceptible,adult,20,45,H_1610,work
1122,Vaccinated,adult,46,12,H_374,work
4761,Susceptible,adult,6,19,H_1587,work
3669,Susceptible,senior,80,3,H_1223,home
2952,Recovered,child,65,65,H_984,school
3308,Vaccinated,adult,47,70,H_1102,work
2193,Susceptible,adult,13,16,H_731,work
4564,Vaccinated,adult,43,83,H_1521,work
4189,Susceptible,adult,63,86,H_1396,work
3822,Recovered,child,25,25,H_1274,school
3683,Susceptible,adult,9,13,H_1227,work
328,Vaccinated,adult,12,5,H_109,work
4710,Susceptible,adult,56,10,H_1570,work
376,Recovered,adult,65,38,H_125,work
2804,Recovered,child,65,65,H_934,school
4791,Susceptible,adult,33,52,H_1597,work
1896,Vaccinated,adult,54,31,H_632,work
1659,Susceptible,senior,54,15,H_553,work
26,Susceptible,adult,17,23,H_8,work
1964,Vaccinated,adult,56,20,H_654,work
2032,Susceptible,senior,27,87,H_677,work
2034,Susceptible,adult,83,66,H_678,work
3039,Susceptible,adult,6,68,H_1013,work
4534,Recovered,adult,28,16,H_1511,work
1442,Susceptible,adult,77,16,H_480,work
2628,Susceptible,adult,84,18,H_876,work
1865,Recovered,child,65,65,H_621,school
3801,Susceptible,senior,36,10,H_1267,home
652,Vaccinated,senior,59,35,H_217,work
2715,Susceptible,adult,2,41,H_905,work
2616,Vaccinated,senior,20,59,H_872,work
549,Susceptible,senior,72,12,H_183,home
2457,Susceptible,adult,15,56,H_819,work
787,Recovered,child,45,45,H_262,school
2536,Vaccinated,senior,37,14,H_845,home
563,Susceptible,senior,87,22,H_187,work
2189,Recovered,child,10,10,H_729,school
88,Susceptible,adult,46,69,H_29,work
3752,Recovered,child,10,10,H_1250,school
4574,Recovered,child,45,45,H_1524,school
1087,Recovered,child,25,25,H_362,school
2921,Recovered,senior,41,1,H_973,work
884,Susceptible,adult,55,44,H_294,work
1031,Vaccinated,adult,64,4,H_343,work
3766,Susceptible,adult,39,52,H_1255,work
4794,Susceptible,senior,25,58,H_1598,home
4492,Susceptible,adult,32,31,H_1497,work
3124,Recovered,child,65,65,H_1041,school
4445,Vaccinated,adult,56,87,H_1481,work
3356,Vaccinated,adult,71,5,H_1118,work
3662,Susceptible,senior,86,14,H_1220,home
4035,Susceptible,adult,85,58,H_1345,work
4222,Vaccinated,adult,51,42,H_1407,work
4242,Recovered,child,25,25,H_1414,school
3053,Recovered,adult,80,39,H_1017,work
471,Vaccinated,adult,8,33,H_157,work
913,Vaccinated,adult,76,38,H_304,work
759,Recovered,adult,1,34,H_253,work
2028,Susceptible,adult,64,19,H_676,work
960,Recovered,child,65,65,H_320,school
1917,Susceptible,senior,35,26,H_639,work
68,Vaccinated,adult,16,75,H_22,work
2824,Vaccinated,senior,76,48,H_941,home
4129,Recovered,child,45,45,H_1376,school
4004,Recovered,senior,39,88,H_1334,home
3698,Recovered,child,25,25,H_1232,school
1934,Susceptible,adult,1,65,H_644,work
1796,Vaccinated,adult,43,75,H_598,work
3427,Susceptible,senior,9,76,H_1142,work
4640,Susceptible,adult,70,58,H_1546,work
1125,Vaccinated,adult,13,27,H_375,work
4610,Susceptible,adult,14,63,H_1536,work
3824,Vaccinated,senior,6,55,H_1274,work
3208,Susceptible,senior,18,79,H_1069,work
966,Susceptible,adult,80,82,H_322,work
2200,Vaccinated,adult,57,45,H_733,work
3564,Susceptible,adult,59,77,H_1188,work
3600,Susceptible,senior,82,47,H_1200,work
2206,Susceptible,adult,67,77,H_735,work
743,Susceptible,senior,17,74,H_247,work
728,Susceptible,senior,8,35,H_242,home
1203,Susceptible,adult,9,68,H_401,work
4883,Vaccinated,adult,55,31,H_1627,work
650,Susceptible,adult,56,71,H_216,work
89,Susceptible,adult,9,2,H_29,work
1415,Susceptible,senior,64,45,H_471,work
2293,Susceptible,adult,5,45,H_764,work
4833,Susceptible,senior,10,18,H_1611,work
1339,Susceptible,adult,57,79,H_446,work
1801,Vaccinated,adult,83,48,H_600,work
1640,Vaccinated,senior,17,41,H_546,work
2144,Vaccinated,senior,62,55,H_714,work
1755,Vaccinated,adult,89,11,H_585,work
1503,Recovered,child,75,20,H_501,school
3301,Susceptible,adult,18,76,H_1100,work
771,Susceptible,adult,78,6,H_257,work
778,Recovered,child,10,10,H_259,school
1605,Susceptible,adult,4,17,H_535,work
4697,Vaccinated,adult,45,3,H_1565,work
2164,Susceptible,adult,36,16,H_721,work
196,Susceptible,senior,69,48,H_65,work
4270,Susceptible,adult,51,17,H_1423,work
306,Vaccinated,adult,16,27,H_102,work
3126,Susceptible,adult,2,75,H_1042,work
2944,Susceptible,adult,5,44,H_981,work
3062,Recovered,adult,36,68,H_1020,work
3968,Susceptible,senior,87,87,H_1322,work
4427,Recovered,child,75,20,H_1475,school
571,Susceptible,adult,73,87,H_190,work
2192,Susceptible,senior,39,58,H_730,work
1138,Vaccinated,adult,65,75,H_379,work
4889,Susceptible,adult,51,22,H_1629,work
1878,Recovered,child,65,65,H_626,school
892,Recovered,child,75,20,H_297,school
351,Recovered,adult,63,57,H_117,work
3145,Vaccinated,senior,65,54,H_1048,work
494,Vaccinated,adult,18,74,H_164,work
335,Recovered,child,25,25,H_111,school
915,Recovered,child,10,10,H_305,school
1864,Susceptible,senior,84,67,H_621,work
1613,Recovered,child,65,65,H_537,school
4928,Vaccinated,senior,1,77,H_1642,work
3115,Susceptible,adult,42,11,H_1038,work
2477,Susceptible,senior,5,28,H_825,home
4243,Susceptible,adult,7,87,H_1414,work
1589,Vaccinated,senior,69,25,H_529,work
4340,Susceptible,adult,49,15,H_1446,work
4472,Recovered,child,65,65,H_1490,school
1744,Recovered,child,45,45,H_581,school
2757,Vaccinated,adult,15,83,H_919,work
4350,Susceptible,adult,23,0,H_1450,work
1713,Susceptible,adult,50,75,H_571,work
4927,Susceptible,senior,74,68,H_1642,work
4382,Recovered,child,75,20,H_1460,school
2216,Susceptible,adult,39,88,H_738,work
1515,Susceptible,adult,28,88,H_505,work
1103,Vaccinated,adult,37,70,H_367,work
2229,Vaccinated,senior,66,84,H_743,work
2922,Susceptible,adult,67,13,H_974,work
1451,Susceptible,adult,6,72,H_483,work
3643,Susceptible,adult,82,74,H_1214,work
3571,Susceptible,adult,53,2,H_1190,work
103,Recovered,adult,21,47,H_34,work
2183,Recovered,child,75,20,H_727,school
2940,Susceptible,adult,5,77,H_980,work
3692,Susceptible,adult,0,62,H_1230,work
2316,Susceptible,adult,24,11,H_772,work
4489,Vaccinated,adult,73,5,H_1496,work
1969,Vaccinated,senior,29,54,H_656,work
2104,Recovered,child,45,45,H_701,school
4967,Susceptible,adult,41,21,H_1655,work
1473,Vaccinated,adult,47,69,H_491,work
324,Recovered,child,45,45,H_108,school
3872,Vaccinated,adult,39,65,H_1290,work
4950,Recovered,adult,83,15,H_1650,work
2365,Vaccinated,adult,18,4,H_788,work
4437,Susceptible,senior,10,46,H_1479,work
119,Vaccinated,adult,1,47,H_39,work
4112,Vaccinated,adult,87,80,H_1370,work
2656,Recovered,child,25,25,H_885,school
4627,Recovered,senior,44,44,H_1542,work
4113,Susceptible,senior,36,4,H_1371,work
1251,Susceptible,senior,71,1,H_417,home
2220,Susceptible,adult,21,86,H_740,work
3573,Susceptible,adult,63,74,H_1191,work
1295,Susceptible,adult,56,6,H_431,work
1123,Susceptible,senior,18,1,H_374,work
888,Susceptible,adult,45,14,H_296,work
1820,Recovered,child,75,20,H_606,school
2540,Susceptible,adult,1,40,H_846,work
2239,Susceptible,adult,35,39,H_746,work
3329,Recovered,adult,10,31,H_1109,work
4352,Vaccinated,adult,42,2,H_1450,work
1248,Vaccinated,adult,30,38,H_416,work
3153,Susceptible,adult,43,79,H_1051,work
4884,Recovered,child,75,20,H_1628,school
1900,Susceptible,adult,13,89,H_633,work
1324,Susceptible,adult,55,80,H_441,work
4183,Susceptible,adult,47,56,H_1394,work
1636,Susceptible,adult,52,57,H_545,work
100,Susceptible,senior,10,29,H_33,home
415,Susceptible,senior,14,49,H_138,work
