Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections,HomeInfections,SchoolInfections,WorkInfections,OtherInfections,MaskProtectedContacts,QuarantinedAgents,DetectedInfected,UndetectedInfected,LockdownActive,LockdownStartStep,SchoolClosedActive,MaskComplianceActive,TestingRateActive,QuarantineComplianceActive,WorkClosedActive,SeniorMobilityActive,ChildMobilityActive,VaccinationCampaignActive,NewVaccinations
0,3113,0,18,0,0,0,1869,18,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
1,3113,1,18,0,0,0,1868,19,1,0.05555555555555555,0,1,0,1,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
2,3113,1,18,0,0,0,1868,19,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
3,3112,2,18,0,0,0,1868,20,1,0.05555555555555555,0,1,0,1,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
4,3111,3,18,0,0,0,1868,21,1,0.05555555555555555,0,1,0,1,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
5,3111,3,18,0,0,0,1868,21,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
6,3110,4,18,0,0,0,1868,22,1,0.05555555555555555,0,1,0,1,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
7,3110,4,18,0,0,0,1868,22,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
8,3110,5,18,0,0,0,1867,23,1,0.05555555555555555,0,1,0,1,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
9,3110,5,18,0,0,0,1867,23,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
10,3110,5,18,0,0,0,1867,23,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
11,3110,5,18,0,0,0,1867,23,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
12,3110,5,18,0,0,0,1867,23,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
13,3110,5,18,0,0,0,1867,23,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
14,3110,5,18,0,0,0,1867,23,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
15,3110,5,18,0,0,0,1867,23,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
16,3110,5,18,0,0,0,1867,23,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
17,3110,5,18,0,0,0,1867,23,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
18,3110,5,18,0,0,0,1867,23,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
19,3109,7,18,0,0,0,1866,25,2,0.1111111111111111,0,2,0,2,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
20,3107,9,18,0,0,0,1866,27,2,0.1111111111111111,0,2,0,2,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
21,3106,10,18,0,0,0,1866,28,1,0.05555555555555555,0,1,0,0,1,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
22,3106,10,18,0,0,0,1866,28,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
23,3105,11,18,0,0,0,1866,29,1,0.05555555555555555,0,1,0,1,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
24,3105,11,18,0,0,0,1866,29,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
25,3104,12,18,0,0,0,1866,30,1,0.05555555555555555,0,1,0,1,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
26,3104,13,18,0,0,0,1865,31,1,0.05555555555555555,0,1,0,1,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
27,3102,15,18,0,0,0,1865,33,2,0.1111111111111111,0,2,0,2,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
28,3102,16,18,0,0,0,1864,34,1,0.05555555555555555,0,1,0,1,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
29,3102,16,18,0,0,0,1864,34,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
30,3102,16,18,0,0,0,1864,34,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
31,3102,16,18,0,0,0,1864,34,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
32,3102,16,18,0,0,0,1864,34,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
33,3102,16,18,0,0,0,1864,34,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
34,3102,16,18,0,0,0,1864,34,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
35,3102,17,18,0,0,0,1863,35,1,0.05555555555555555,0,1,1,0,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
36,3102,17,18,0,0,0,1863,35,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
37,3102,17,18,0,0,0,1863,35,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
38,3102,17,18,0,0,0,1863,35,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
39,3102,17,18,0,0,0,1863,35,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
40,3102,17,18,0,0,0,1863,35,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
41,3100,18,19,0,0,0,1863,37,2,0.10526315789473684,0,2,0,2,0,0,0,0,0,19,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
42,3097,21,19,0,0,0,1863,40,3,0.15789473684210525,0,3,0,3,0,0,0,0,0,19,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
43,3096,21,20,0,0,0,1863,41,1,0.05,0,1,0,1,0,0,0,0,0,20,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
44,3096,21,21,0,0,0,1862,42,1,0.047619047619047616,0,1,0,1,0,0,0,0,0,21,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
45,3095,22,21,0,0,0,1862,43,1,0.047619047619047616,0,1,0,0,1,0,0,0,0,21,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
46,3093,23,21,0,0,1,1862,45,2,0.09090909090909091,0,2,0,2,0,0,0,0,0,21,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
47,3091,25,22,0,0,1,1861,48,3,0.13043478260869565,0,3,0,3,0,0,0,0,0,22,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
48,3088,28,22,0,0,1,1861,51,3,0.13043478260869565,0,3,0,3,0,0,0,0,0,22,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
49,3088,28,22,0,0,1,1861,51,0,0.0,0,0,0,0,0,0,0,0,0,22,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
50,3088,28,22,0,0,1,1861,51,0,0.0,0,0,0,0,0,0,0,0,0,22,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
51,3088,28,22,0,0,1,1861,51,0,0.0,0,0,0,0,0,0,0,0,0,22,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
52,3088,28,22,0,0,1,1861,51,0,0.0,0,0,0,0,0,0,0,0,0,22,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
53,3088,28,22,0,0,1,1861,51,0,0.0,0,0,0,0,0,0,0,0,0,22,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
54,3088,28,22,0,0,1,1861,51,0,0.0,0,0,0,0,0,0,0,0,0,22,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
55,3088,28,22,0,0,1,1861,51,0,0.0,0,0,0,0,0,0,0,0,0,22,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
56,3088,28,22,0,0,1,1861,51,0,0.0,0,0,0,0,0,0,0,0,0,22,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
57,3088,28,22,0,0,1,1861,51,0,0.0,0,0,0,0,0,0,0,0,0,22,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
58,3088,28,22,0,0,1,1861,51,0,0.0,0,0,0,0,0,0,0,0,0,22,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
59,3088,26,25,0,0,1,1860,52,1,0.038461538461538464,0,1,0,1,0,0,0,0,0,25,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
60,3084,28,26,0,0,2,1860,56,4,0.14285714285714285,0,4,0,4,0,0,0,0,0,26,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
61,3083,29,26,0,0,2,1860,57,1,0.03571428571428571,0,1,0,1,0,0,0,0,0,26,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
62,3081,31,27,0,0,2,1859,60,3,0.10344827586206896,0,3,0,2,1,0,0,0,0,27,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
63,3078,34,27,0,0,2,1859,63,3,0.10344827586206896,0,3,0,3,0,0,0,0,0,27,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
64,3077,34,28,0,0,2,1859,64,1,0.03333333333333333,0,1,0,1,0,0,0,0,0,28,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
65,3076,38,28,0,0,2,1856,68,4,0.13333333333333333,0,4,0,4,0,0,0,0,0,28,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
66,3075,37,30,0,0,2,1856,69,1,0.03125,0,1,0,1,0,0,0,0,0,30,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
67,3073,40,31,0,0,2,1854,73,4,0.12121212121212122,0,4,0,3,1,0,0,0,0,31,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
68,3071,42,32,0,0,2,1853,76,3,0.08823529411764706,0,3,0,2,1,0,0,0,0,32,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
69,3071,42,32,0,0,2,1853,76,0,0.0,0,0,0,0,0,0,0,0,0,32,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
70,3071,42,32,0,0,2,1853,76,0,0.0,0,0,0,0,0,0,0,0,0,32,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
71,3070,44,32,0,0,2,1852,78,2,0.058823529411764705,0,2,2,0,0,0,0,0,0,32,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
72,3070,45,32,0,0,2,1851,79,1,0.029411764705882353,1,0,1,0,0,0,0,0,0,32,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
73,3070,45,32,0,0,2,1851,79,0,0.0,0,0,0,0,0,0,0,0,0,32,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
74,3069,45,32,0,0,3,1851,80,1,0.02857142857142857,0,1,1,0,0,0,0,0,0,32,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
75,3069,45,32,0,0,3,1851,80,0,0.0,0,0,0,0,0,0,0,0,0,32,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
76,3068,46,32,0,0,3,1851,81,1,0.02857142857142857,0,1,1,0,0,0,0,0,0,32,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
77,3068,46,32,0,0,3,1851,81,0,0.0,0,0,0,0,0,0,0,0,0,32,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
78,3068,46,32,0,0,3,1851,81,0,0.0,0,0,0,0,0,0,0,0,0,32,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
79,3067,47,32,0,0,3,1851,82,1,0.02857142857142857,0,1,0,1,0,0,0,0,0,32,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
80,3064,49,32,0,0,4,1851,85,3,0.08333333333333333,0,3,0,3,0,0,0,0,0,32,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
81,3061,52,33,0,0,4,1850,89,4,0.10810810810810811,0,4,0,3,1,0,0,0,0,33,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
82,3060,49,36,0,0,5,1850,90,1,0.024390243902439025,0,1,0,1,0,0,0,0,0,36,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
83,3058,50,37,0,0,5,1850,92,2,0.047619047619047616,0,2,0,2,0,0,0,0,0,37,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
84,3055,54,38,0,0,5,1848,97,5,0.11627906976744186,0,5,0,5,0,0,0,0,0,38,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
85,3051,58,39,0,0,5,1847,102,5,0.11363636363636363,0,5,0,5,0,0,0,0,0,39,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
86,3047,65,40,0,0,5,1843,110,8,0.17777777777777778,0,8,0,8,0,0,0,0,0,40,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
87,3046,62,44,0,0,5,1843,111,1,0.02040816326530612,0,1,0,1,0,0,0,0,0,44,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
88,3043,65,45,0,0,6,1841,116,5,0.09803921568627451,0,5,0,5,0,0,0,0,0,45,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
89,3043,65,27,18,0,6,1841,98,0,0.0,0,0,0,0,0,0,0,0,0,27,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
90,3043,65,27,18,0,6,1841,98,0,0.0,0,0,0,0,0,0,0,0,0,27,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
91,3043,65,27,18,0,6,1841,98,0,0.0,0,0,0,0,0,0,0,0,0,27,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
92,3042,66,27,18,0,6,1841,99,1,0.030303030303030304,0,1,1,0,0,0,0,0,0,27,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
93,3042,66,27,18,0,6,1841,99,0,0.0,0,0,0,0,0,0,0,0,0,27,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
94,3042,66,27,18,0,6,1841,99,0,0.0,0,0,0,0,0,0,0,0,0,27,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
95,3041,67,27,18,0,6,1841,100,1,0.030303030303030304,0,1,1,0,0,0,0,0,0,27,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
96,3041,67,27,18,0,6,1841,100,0,0.0,0,0,0,0,0,0,0,0,0,27,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
97,3041,67,27,18,0,6,1841,100,0,0.0,0,0,0,0,0,0,0,0,0,27,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
98,3041,67,27,18,0,6,1841,100,0,0.0,0,0,0,0,0,0,0,0,0,27,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
99,3037,67,28,18,0,9,1841,104,4,0.10810810810810811,0,4,0,4,0,0,0,0,0,28,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
100,3030,74,29,18,0,9,1840,112,8,0.21052631578947367,0,8,0,8,0,0,0,0,0,29,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
101,3025,78,30,18,0,10,1839,118,6,0.15,0,6,0,6,0,0,0,0,0,30,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
102,3023,77,33,18,0,10,1839,120,2,0.046511627906976744,0,2,0,2,0,0,0,0,0,33,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
103,3017,80,35,18,0,11,1839,126,6,0.13043478260869565,0,6,0,6,0,0,0,0,0,35,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
104,3014,82,37,18,0,12,1837,131,5,0.10204081632653061,0,5,0,5,0,0,0,0,0,37,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
105,3011,86,38,18,0,12,1835,136,5,0.1,0,5,0,5,0,0,0,0,0,38,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
106,3006,87,42,18,0,13,1834,142,6,0.10909090909090909,0,6,0,6,0,0,0,0,0,42,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
107,3004,88,44,18,0,14,1832,146,4,0.06896551724137931,0,4,0,4,0,0,0,0,0,44,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
108,3001,96,44,18,0,14,1827,154,8,0.13793103448275862,0,8,0,8,0,0,0,0,0,44,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
109,3000,97,44,18,0,14,1827,155,1,0.017241379310344827,0,1,1,0,0,0,0,0,0,44,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
110,2999,97,45,18,0,14,1827,156,1,0.01694915254237288,0,1,1,0,0,0,0,0,0,45,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
111,2999,95,46,18,0,15,1827,156,0,0.0,0,0,0,0,0,0,0,0,0,46,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
112,2997,97,46,18,0,15,1827,158,2,0.03278688524590164,0,2,2,0,0,0,0,0,0,46,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
113,2997,96,46,18,0,16,1827,158,0,0.0,0,0,0,0,0,0,0,0,0,46,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
114,2996,97,46,18,0,16,1827,159,1,0.016129032258064516,0,1,1,0,0,0,0,0,0,46,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
115,2995,97,47,18,0,16,1827,160,1,0.015873015873015872,0,1,1,0,0,0,0,0,0,47,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
116,2995,97,47,18,0,16,1827,160,0,0.0,0,0,0,0,0,0,0,0,0,47,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
117,2994,98,47,18,0,16,1827,161,1,0.015873015873015872,0,1,1,0,0,0,0,0,0,47,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
118,2993,99,47,18,0,16,1827,162,1,0.015873015873015872,0,1,1,0,0,0,0,0,0,47,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
119,2992,100,48,18,0,17,1825,165,3,0.046153846153846156,0,3,0,3,0,0,0,0,0,48,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
120,2980,108,53,18,0,18,1823,179,14,0.19718309859154928,0,14,0,14,0,0,0,0,0,53,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
121,2973,115,54,18,0,18,1822,187,8,0.1111111111111111,0,8,0,8,0,0,0,0,0,54,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
122,2967,121,55,18,0,19,1820,195,8,0.10810810810810811,0,8,0,8,0,0,0,0,0,55,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
123,2963,125,57,18,0,19,1818,201,6,0.07894736842105263,0,6,0,6,0,0,0,0,0,57,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
124,2958,127,60,18,0,21,1816,208,7,0.08641975308641975,0,7,0,7,0,0,0,0,0,60,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
125,2949,135,64,18,0,22,1812,221,13,0.1511627906976744,0,13,0,13,0,0,0,0,0,64,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
126,2944,136,67,18,0,25,1810,228,7,0.07608695652173914,0,7,0,7,0,0,0,0,0,67,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
127,2939,141,68,18,0,28,1806,237,9,0.09375,0,9,0,9,0,0,0,0,0,68,0,-1,0,0.15,0.0,0.3,0,0.65,1.0,0,0
