Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections,HomeInfections,SchoolInfections,WorkInfections,OtherInfections,MaskProtectedContacts,QuarantinedAgents,DetectedInfected,UndetectedInfected,LockdownActive,LockdownStartStep,SchoolClosedActive,MaskComplianceActive,TestingRateActive,QuarantineComplianceActive,WorkClosedActive,SeniorMobilityActive,ChildMobilityActive,VaccinationCampaignActive,NewVaccinations
0,3079,2,18,0,0,0,1901,20,2,0.1111111111111111,0,2,0,2,0,0,51,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
1,3079,2,18,0,0,0,1901,20,0,0.0,0,0,0,0,0,0,124,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
2,3077,5,18,0,0,0,1900,23,3,0.16666666666666666,0,3,0,3,0,0,121,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
3,3077,5,18,0,0,0,1900,23,0,0.0,0,0,0,0,0,0,125,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
4,3077,5,18,0,0,0,1900,23,0,0.0,0,0,0,0,0,0,143,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
5,3076,8,18,0,0,0,1898,26,3,0.16666666666666666,0,3,0,3,0,0,165,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
6,3075,9,18,0,0,0,1898,27,1,0.05555555555555555,0,1,0,1,0,0,119,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
7,3075,9,18,0,0,0,1898,27,0,0.0,0,0,0,0,0,0,95,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
8,3075,9,18,0,0,0,1898,27,0,0.0,0,0,0,0,0,0,135,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
9,3075,9,18,0,0,0,1898,27,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
10,3075,9,18,0,0,0,1898,27,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
11,3075,9,18,0,0,0,1898,27,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
12,3075,9,18,0,0,0,1898,27,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
