Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections,HomeInfections,SchoolInfections,WorkInfections
0,77,1,3,0,0,0,19,4,1,0.3333333333333333,1,0,1,0,0
1,77,0,3,0,0,1,19,4,0,0.0,0,0,0,0,0
2,59,18,3,0,0,1,19,22,18,4.5,0,18,0,15,3
3,56,18,4,0,0,3,19,25,3,0.42857142857142855,0,3,0,0,3
4,54,4,15,3,0,5,19,24,2,0.1,0,2,0,2,0
5,40,17,16,3,0,6,18,39,15,0.6818181818181818,1,14,13,2,0
6,37,12,22,4,0,8,17,42,4,0.13333333333333333,0,4,3,1,0
7,32,5,31,4,0,11,17,47,5,0.11904761904761904,0,5,3,1,1
8,27,6,33,7,0,10,17,49,5,0.11627906976744186,0,5,5,0,0
9,15,13,23,23,0,9,17,45,12,0.375,8,4,12,0,0
10,4,24,24,25,0,9,14,57,14,0.42424242424242425,10,4,14,0,0
11,2,7,35,34,0,9,13,51,3,0.06818181818181818,3,0,3,0,0
12,0,7,30,46,0,7,10,44,5,0.13513513513513514,5,0,5,0,0
13,0,3,31,50,0,7,9,41,1,0.02631578947368421,1,0,1,0,0
14,0,2,30,55,0,6,7,38,2,0.05555555555555555,2,0,2,0,0
15,0,2,29,58,0,5,6,36,1,0.029411764705882353,1,0,1,0,0
16,0,1,12,78,0,3,6,16,0,0.0,0,0,0,0,0
17,0,0,9,83,0,2,6,11,0,0.0,0,0,0,0,0
18,0,0,5,88,0,1,6,6,0,0.0,0,0,0,0,0
19,0,0,2,91,0,1,6,3,0,0.0,0,0,0,0,0
20,0,0,1,92,0,1,6,2,0,0.0,0,0,0,0,0
21,0,0,1,93,0,0,6,1,0,0.0,0,0,0,0,0
22,0,0,0,94,0,0,6,0,0,0.0,0,0,0,0,0
