Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections,HomeInfections,SchoolInfections,WorkInfections
0,74,4,3,0,0,0,19,7,4,1.3333333333333333,1,3,4,0,0
1,66,11,4,0,0,0,19,15,8,2.0,0,8,8,0,0
2,66,2,11,0,0,2,19,15,0,0.0,0,0,0,0,0
3,60,6,11,0,0,4,19,21,6,0.4,0,6,6,0,0
4,60,2,13,3,0,4,18,19,1,0.058823529411764705,0,1,1,0,0
5,54,6,14,3,0,5,18,25,6,0.3157894736842105,0,6,2,0,4
6,54,4,13,4,0,7,18,24,0,0.0,0,0,0,0,0
7,53,1,9,13,0,6,18,16,1,0.06666666666666667,0,1,0,1,0
8,47,7,9,15,0,4,18,20,6,0.46153846153846156,1,5,1,5,0
9,35,14,8,20,0,5,18,27,12,0.9230769230769231,10,2,12,0,0
10,24,24,7,22,0,6,17,37,12,0.9230769230769231,7,5,12,0,0
11,20,13,18,24,0,8,17,39,4,0.15384615384615385,4,0,4,0,0
12,18,4,23,28,0,12,15,39,4,0.11428571428571428,3,1,4,0,0
13,13,7,25,28,0,13,14,45,6,0.15789473684210525,5,1,6,0,0
14,13,2,24,33,0,14,14,40,0,0.0,0,0,0,0,0
15,13,0,25,35,0,13,14,38,0,0.0,0,0,0,0,0
16,13,1,14,50,0,9,13,24,1,0.043478260869565216,0,1,1,0,0
17,13,0,6,63,0,5,13,11,0,0.0,0,0,0,0,0
18,13,0,4,66,0,4,13,8,0,0.0,0,0,0,0,0
19,13,0,1,71,0,2,13,3,0,0.0,0,0,0,0,0
20,12,1,0,73,0,1,13,2,1,1.0,0,1,1,0,0
21,12,1,0,73,0,1,13,2,0,0.0,0,0,0,0,0
22,12,0,1,74,0,0,13,1,0,0.0,0,0,0,0,0
23,12,0,1,74,0,0,13,1,0,0.0,0,0,0,0,0
24,12,0,1,74,0,0,13,1,0,0.0,0,0,0,0,0
25,12,0,1,74,0,0,13,1,0,0.0,0,0,0,0,0
26,12,0,1,74,0,0,13,1,0,0.0,0,0,0,0,0
27,12,0,0,75,0,0,13,0,0,0.0,0,0,0,0,0
