Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections,HomeInfections,SchoolInfections,WorkInfections,OtherInfections
0,71,7,3,0,0,0,19,10,7,2.3333333333333335,0,7,0,7,0,0
1,71,7,3,0,0,0,19,10,0,0.0,0,0,0,0,0,0
2,71,0,7,0,0,3,19,10,0,0.0,0,0,0,0,0,0
3,68,3,7,0,0,3,19,13,3,0.3,0,3,2,1,0,0
4,68,1,6,3,0,3,19,10,0,0.0,0,0,0,0,0,0
5,68,0,6,3,0,4,19,10,0,0.0,0,0,0,0,0,0
6,68,1,6,3,0,4,18,11,1,0.1,0,1,0,1,0,0
7,68,1,2,10,0,1,18,4,0,0.0,0,0,0,0,0,0
8,68,0,2,10,0,2,18,4,0,0.0,0,0,0,0,0,0
9,66,2,0,12,0,2,18,4,2,1.0,1,1,2,0,0,0
10,64,4,0,13,0,1,18,5,2,2.0,2,0,2,0,0,0
11,64,2,1,13,0,2,18,5,0,0.0,0,0,0,0,0,0
12,62,4,2,13,0,3,16,9,4,0.8,2,2,4,0,0,0
13,61,2,4,14,0,3,16,9,1,0.14285714285714285,1,0,1,0,0,0
14,61,0,6,14,0,3,16,9,0,0.0,0,0,0,0,0,0
15,61,0,6,14,0,3,16,9,0,0.0,0,0,0,0,0,0
16,61,0,5,16,0,2,16,7,0,0.0,0,0,0,0,0,0
17,61,0,4,18,0,1,16,5,0,0.0,0,0,0,0,0,0
18,61,0,2,21,0,0,16,2,0,0.0,0,0,0,0,0,0
19,60,1,0,23,0,0,16,1,1,1.0,0,1,1,0,0,0
20,60,1,0,23,0,0,16,1,0,0.0,0,0,0,0,0,0
21,60,0,0,23,0,1,16,1,0,0.0,0,0,0,0,0,0
22,60,0,0,23,0,1,16,1,0,0.0,0,0,0,0,0,0
23,59,1,0,23,0,1,16,2,1,1.0,0,1,0,0,1,0
24,59,0,0,23,0,2,16,2,0,0.0,0,0,0,0,0,0
25,57,2,0,23,0,2,16,4,2,1.0,0,2,0,0,2,0
26,57,2,0,24,0,1,16,3,0,0.0,0,0,0,0,0,0
27,55,2,1,24,0,2,16,5,2,0.6666666666666666,0,2,0,0,2,0
28,55,0,1,24,0,4,16,5,0,0.0,0,0,0,0,0,0
29,50,6,1,25,0,3,15,10,6,1.5,1,5,6,0,0,0
30,44,8,5,25,0,3,15,16,6,0.75,3,3,6,0,0,0
31,39,9,7,25,0,6,14,22,6,0.46153846153846156,3,3,6,0,0,0
32,38,6,8,27,0,7,14,21,1,0.06666666666666667,1,0,1,0,0,0
33,35,3,12,29,0,7,14,22,3,0.15789473684210525,2,1,3,0,0,0
34,33,4,13,29,0,7,14,24,2,0.1,2,0,2,0,0,0
35,33,0,11,33,0,9,14,20,0,0.0,0,0,0,0,0,0
36,33,0,9,38,0,6,14,15,0,0.0,0,0,0,0,0,0
37,33,0,7,42,0,4,14,11,0,0.0,0,0,0,0,0,0
38,33,0,3,48,0,2,14,5,0,0.0,0,0,0,0,0,0
39,32,1,2,49,0,2,14,5,1,0.25,0,1,0,0,1,0
40,32,1,0,53,0,0,14,1,0,0.0,0,0,0,0,0,0
41,32,0,1,53,0,0,14,1,0,0.0,0,0,0,0,0,0
42,32,0,1,53,0,0,14,1,0,0.0,0,0,0,0,0,0
43,32,0,1,53,0,0,14,1,0,0.0,0,0,0,0,0,0
44,32,0,1,53,0,0,14,1,0,0.0,0,0,0,0,0,0
45,32,0,1,53,0,0,14,1,0,0.0,0,0,0,0,0,0
46,32,0,0,54,0,0,14,0,0,0.0,0,0,0,0,0,0
