agent_id,state,age_group,x,y,household_id
82,Recovered,adult,9,12,H_20
94,Recovered,adult,19,12,H_23
44,Vaccinated,adult,3,13,H_11
11,Recovered,child,5,5,H_2
81,Recovered,adult,3,3,H_20
5,Recovered,adult,7,7,H_1
21,Recovered,child,15,15,H_5
32,Recovered,adult,1,13,H_8
62,Recovered,adult,6,2,H_15
19,Recovered,adult,13,1,H_4
7,Recovered,adult,8,11,H_1
89,Recovered,adult,9,15,H_22
65,Recovered,adult,9,5,H_16
28,Recovered,adult,6,1,H_7
59,Recovered,adult,19,1,H_14
18,Recovered,child,5,5,H_4
42,Recovered,child,5,5,H_10
45,Recovered,child,5,5,H_11
3,Recovered,adult,19,1,H_0
66,Recovered,senior,18,7,H_16
69,Recovered,adult,19,0,H_17
27,Recovered,adult,15,10,H_6
51,Recovered,adult,8,4,H_12
34,Recovered,child,15,15,H_8
48,Recovered,adult,3,8,H_12
77,Recovered,adult,5,18,H_19
0,Recovered,child,5,5,H_0
84,Recovered,adult,10,17,H_21
33,Recovered,child,5,5,H_8
40,Recovered,adult,12,13,H_10
95,Recovered,adult,16,16,H_23
88,Recovered,adult,6,5,H_22
91,Recovered,child,5,5,H_22
99,Recovered,senior,3,6,H_24
85,Recovered,adult,16,14,H_21
13,Recovered,adult,5,13,H_3
20,Recovered,adult,18,16,H_5
10,Vaccinated,adult,2,15,H_2
17,Recovered,child,5,5,H_4
93,Vaccinated,adult,0,9,H_23
78,Recovered,adult,3,12,H_19
15,Recovered,child,5,5,H_3
64,Recovered,child,15,15,H_16
83,Susceptible,adult,12,17,H_20
72,Recovered,adult,19,13,H_18
22,Vaccinated,adult,10,2,H_5
4,Vaccinated,adult,3,16,H_1
63,Recovered,adult,4,4,H_15
55,Recovered,adult,10,12,H_13
92,Recovered,adult,11,1,H_23
75,Recovered,child,15,15,H_18
70,Vaccinated,adult,3,6,H_17
29,Vaccinated,adult,14,4,H_7
8,Recovered,adult,4,14,H_2
41,Recovered,adult,16,4,H_10
35,Recovered,adult,8,14,H_8
68,Recovered,child,15,15,H_17
39,Recovered,child,5,5,H_9
67,Recovered,child,5,5,H_16
56,Recovered,senior,8,19,H_14
52,Recovered,child,15,15,H_13
71,Recovered,child,5,5,H_17
47,Recovered,child,15,15,H_11
1,Recovered,child,15,15,H_0
9,Recovered,adult,5,11,H_2
49,Vaccinated,adult,11,15,H_12
16,Vaccinated,child,15,15,H_4
76,Recovered,child,5,5,H_19
31,Recovered,child,5,5,H_7
97,Recovered,adult,16,9,H_24
12,Recovered,senior,19,0,H_3
98,Recovered,child,5,5,H_24
6,Recovered,child,5,5,H_1
38,Recovered,child,15,15,H_9
87,Recovered,child,5,5,H_21
96,Recovered,child,15,15,H_24
73,Recovered,adult,5,3,H_18
37,Recovered,child,5,5,H_9
90,Recovered,child,15,15,H_22
36,Recovered,senior,17,11,H_9
74,Recovered,senior,4,17,H_18
46,Recovered,senior,18,9,H_11
60,Recovered,child,5,5,H_15
43,Recovered,adult,14,14,H_10
2,Recovered,child,5,5,H_0
14,Recovered,adult,17,6,H_3
58,Recovered,child,15,15,H_14
26,Recovered,child,15,15,H_6
79,Recovered,adult,12,11,H_19
30,Vaccinated,adult,6,11,H_7
50,Recovered,senior,6,19,H_12
53,Recovered,adult,7,16,H_13
25,Recovered,child,5,5,H_6
61,Recovered,child,15,15,H_15
86,Recovered,adult,8,16,H_21
23,Recovered,child,5,5,H_5
24,Recovered,adult,11,1,H_6
54,Recovered,child,5,5,H_13
57,Recovered,adult,2,6,H_14
80,Recovered,adult,15,19,H_20
