agent_id,state,age_group,x,y,household_id,current_location_type
63,Recovered,adult,13,3,H_15,work
72,Recovered,child,15,15,H_18,school
13,Susceptible,adult,5,15,H_3,work
37,Recovered,adult,19,5,H_9,work
84,Recovered,senior,6,5,H_21,work
66,Recovered,child,15,15,H_16,school
36,Recovered,child,5,5,H_9,school
97,Vaccinated,senior,13,9,H_24,work
60,Recovered,child,15,15,H_15,school
82,Recovered,adult,12,13,H_20,work
55,Recovered,adult,2,10,H_13,work
92,Recovered,child,5,5,H_23,school
0,Recovered,senior,4,10,H_0,work
1,Recovered,adult,4,14,H_0,work
88,Recovered,senior,11,19,H_22,work
49,Recovered,child,15,15,H_12,school
22,Recovered,child,15,15,H_5,school
73,Recovered,adult,15,15,H_18,work
9,Recovered,adult,11,15,H_2,work
56,Recovered,adult,3,14,H_14,work
45,Recovered,adult,19,16,H_11,work
91,Recovered,adult,16,15,H_22,work
33,Recovered,adult,3,3,H_8,work
75,Recovered,adult,4,5,H_18,work
48,Recovered,child,5,5,H_12,school
32,Recovered,child,5,5,H_8,school
87,Recovered,adult,12,0,H_21,work
6,Recovered,adult,7,9,H_1,work
16,Recovered,child,5,5,H_4,school
41,Recovered,adult,9,7,H_10,work
11,Recovered,adult,1,13,H_2,work
53,Recovered,adult,4,13,H_13,work
38,Recovered,senior,15,3,H_9,work
24,Recovered,adult,5,7,H_6,work
78,Recovered,adult,3,8,H_19,work
95,Recovered,adult,18,13,H_23,work
81,Recovered,child,5,5,H_20,school
4,Recovered,adult,15,7,H_1,work
67,Recovered,child,5,5,H_16,school
99,Recovered,child,5,5,H_24,school
5,Recovered,adult,9,5,H_1,work
12,Vaccinated,adult,12,17,H_3,work
46,Recovered,adult,12,10,H_11,work
19,Recovered,adult,9,10,H_4,work
57,Recovered,child,5,5,H_14,school
64,Recovered,adult,10,4,H_16,work
94,Recovered,child,5,5,H_23,school
98,Recovered,child,15,15,H_24,school
83,Recovered,adult,19,1,H_20,work
21,Recovered,child,16,5,H_5,home
90,Recovered,adult,9,16,H_22,work
27,Recovered,adult,9,8,H_6,work
26,Recovered,adult,14,11,H_6,work
71,Recovered,adult,2,0,H_17,work
35,Recovered,child,5,5,H_8,school
2,Recovered,child,5,5,H_0,school
42,Recovered,child,5,5,H_10,school
20,Susceptible,adult,2,19,H_5,work
51,Recovered,child,5,5,H_12,school
54,Recovered,adult,12,4,H_13,work
40,Recovered,senior,0,9,H_10,work
77,Recovered,child,5,5,H_19,school
39,Recovered,adult,2,11,H_9,work
96,Recovered,adult,8,6,H_24,work
47,Vaccinated,adult,15,5,H_11,work
44,Recovered,adult,11,6,H_11,work
29,Recovered,adult,17,17,H_7,work
80,Recovered,child,5,5,H_20,school
52,Recovered,child,5,5,H_13,school
69,Recovered,adult,3,10,H_17,work
50,Recovered,adult,16,11,H_12,work
10,Dead,senior,2,9,H_2,home
43,Recovered,adult,17,15,H_10,work
28,Recovered,adult,1,4,H_7,work
68,Recovered,adult,0,12,H_17,work
59,Recovered,adult,9,18,H_14,work
85,Recovered,senior,6,2,H_21,work
79,Recovered,senior,9,10,H_19,work
58,Recovered,adult,9,18,H_14,work
31,Recovered,child,15,15,H_7,school
74,Recovered,senior,9,4,H_18,work
34,Recovered,adult,1,16,H_8,work
93,Vaccinated,adult,7,1,H_23,work
8,Recovered,adult,13,12,H_2,work
65,Recovered,child,15,15,H_16,school
25,Dead,adult,18,16,H_6,home
61,Vaccinated,adult,5,3,H_15,work
70,Recovered,child,5,5,H_17,school
15,Vaccinated,senior,7,18,H_3,work
7,Recovered,adult,7,8,H_1,work
23,Susceptible,adult,18,8,H_5,work
76,Recovered,child,15,15,H_19,school
3,Recovered,adult,2,8,H_0,work
62,Recovered,child,15,15,H_15,school
30,Recovered,child,5,5,H_7,school
89,Recovered,senior,12,10,H_22,work
86,Recovered,adult,18,8,H_21,work
18,Recovered,child,15,15,H_4,school
14,Susceptible,senior,7,0,H_3,work
17,Recovered,child,15,15,H_4,school
