Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections,HomeInfections,SchoolInfections,WorkInfections,OtherInfections
0,70,9,3,0,0,0,18,12,9,3.0,0,9,0,9,0,0
1,70,8,3,0,0,1,18,12,0,0.0,0,0,0,0,0,0
2,69,1,10,0,0,2,18,13,1,0.08333333333333333,0,1,0,0,1,0
3,56,16,10,0,0,2,16,28,15,1.25,1,14,4,11,0,0
4,53,7,15,3,0,6,16,28,3,0.14285714285714285,1,2,3,0,0,0
5,48,8,20,3,0,6,15,34,6,0.23076923076923078,0,6,5,1,0,0
6,48,6,23,4,0,6,13,35,2,0.06896551724137931,0,2,2,0,0,0
7,45,6,20,12,0,5,12,31,4,0.16,0,4,3,1,0,0
8,40,8,20,12,0,8,12,36,5,0.17857142857142858,0,5,4,0,1,0
9,17,23,17,24,0,7,12,47,23,0.9583333333333334,11,12,23,0,0,0
10,14,26,12,29,0,7,12,45,3,0.15789473684210525,2,1,3,0,0,0
11,11,5,21,33,0,19,11,45,4,0.1,4,0,4,0,0,0
12,10,4,19,37,0,20,10,43,2,0.05128205128205128,2,0,2,0,0,0
13,10,0,22,40,0,18,10,40,0,0.0,0,0,0,0,0,0
14,10,1,17,47,1,15,9,33,1,0.03125,1,0,1,0,0,0
15,8,3,17,47,1,16,8,36,3,0.09090909090909091,2,1,3,0,0,0
16,7,5,5,72,1,3,7,13,2,0.25,1,1,2,0,0,0
17,7,1,4,75,1,5,7,10,0,0.0,0,0,0,0,0,0
18,7,0,2,78,2,4,7,6,0,0.0,0,0,0,0,0,0
19,7,1,2,78,2,4,6,7,1,0.16666666666666666,0,1,0,1,0,0
20,5,3,2,79,2,3,6,8,2,0.4,0,2,0,2,0,0
21,4,2,4,79,2,3,6,9,1,0.14285714285714285,0,1,0,1,0,0
22,4,0,5,83,2,0,6,5,0,0.0,0,0,0,0,0,0
23,4,0,4,84,2,0,6,4,0,0.0,0,0,0,0,0,0
24,4,0,4,84,2,0,6,4,0,0.0,0,0,0,0,0,0
25,4,0,4,84,2,0,6,4,0,0.0,0,0,0,0,0,0
26,4,0,2,86,2,0,6,2,0,0.0,0,0,0,0,0,0
27,4,0,0,88,2,0,6,0,0,0.0,0,0,0,0,0,0
