Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt
0,72,6,3,0,0,0,19,9,6,2.0
1,69,7,4,0,0,1,19,12,3,0.6
2,65,6,7,0,0,3,19,16,4,0.4
3,63,7,9,0,0,3,18,19,3,0.25
4,61,4,11,3,0,4,17,19,3,0.2
5,58,6,12,3,0,4,17,22,3,0.1875
6,55,7,12,5,0,6,15,25,5,0.2777777777777778
7,53,6,10,10,0,7,14,23,3,0.17647058823529413
8,51,4,9,12,0,10,14,23,2,0.10526315789473684
9,44,9,6,18,0,9,14,24,7,0.4666666666666667
10,40,9,5,19,0,13,14,27,4,0.2222222222222222
11,38,4,7,23,0,14,14,25,2,0.09523809523809523
12,36,3,8,27,0,12,14,23,2,0.1
13,31,5,9,31,0,10,14,24,5,0.2631578947368421
14,27,7,9,33,0,10,14,26,4,0.21052631578947367
15,26,6,9,37,0,9,13,24,2,0.1111111111111111
16,24,3,10,43,1,6,13,19,2,0.125
17,24,1,10,46,1,5,13,16,0,0.0
18,24,0,9,49,1,4,13,13,0,0.0
19,23,1,7,51,1,4,13,12,1,0.09090909090909091
20,20,4,7,54,1,1,13,12,3,0.375
21,19,4,4,59,1,0,13,8,1,0.25
22,19,0,3,61,1,3,13,6,0,0.0
23,19,0,2,62,1,3,13,5,0,0.0
24,19,0,2,62,1,3,13,5,0,0.0
25,19,0,2,62,1,3,13,5,0,0.0
26,19,0,1,63,1,3,13,4,0,0.0
27,19,0,0,67,1,0,13,0,0,0.0
