Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections,HomeInfections,SchoolInfections,WorkInfections
0,75,4,3,0,0,0,18,7,4,1.3333333333333333,1,3,2,0,2
1,75,1,4,0,0,2,18,7,0,0.0,0,0,0,0,0
2,62,13,5,0,0,2,18,20,13,1.8571428571428572,1,12,0,4,9
3,59,12,9,0,0,3,17,24,4,0.3333333333333333,0,4,0,3,1
4,55,8,12,3,0,6,16,26,5,0.2777777777777778,0,5,3,2,0
5,51,9,15,3,0,6,16,30,4,0.19047619047619047,0,4,4,0,0
6,50,4,19,6,0,6,15,29,2,0.08,0,2,1,1,0
7,47,3,21,7,0,7,15,31,3,0.10714285714285714,0,3,2,0,1
8,43,6,19,12,0,6,14,31,5,0.2,0,5,4,1,0
9,26,22,15,21,0,3,13,40,18,1.0,12,6,18,0,0
10,21,20,18,24,0,4,13,42,5,0.22727272727272727,4,1,5,0,0
11,17,7,27,30,1,5,13,39,4,0.125,3,1,4,0,0
12,13,6,28,34,1,5,13,39,4,0.12121212121212122,4,0,4,0,0
13,12,4,29,36,1,5,13,38,1,0.029411764705882353,1,0,1,0,0
14,12,2,29,38,1,7,11,38,2,0.05555555555555555,2,0,2,0,0
15,12,5,23,45,1,6,8,34,3,0.10344827586206896,3,0,3,0,0
16,12,2,13,62,1,3,7,18,1,0.0625,1,0,1,0,0
17,12,1,10,66,2,2,7,13,0,0.0,0,0,0,0,0
18,12,0,8,69,2,2,7,10,0,0.0,0,0,0,0,0
19,10,2,6,73,2,0,7,8,2,0.3333333333333333,0,2,1,1,0
20,10,2,6,73,2,0,7,8,0,0.0,0,0,0,0,0
21,10,0,4,77,2,0,7,4,0,0.0,0,0,0,0,0
22,10,0,3,78,2,0,7,3,0,0.0,0,0,0,0,0
23,10,0,2,79,2,0,7,2,0,0.0,0,0,0,0,0
24,10,0,2,79,2,0,7,2,0,0.0,0,0,0,0,0
25,10,0,2,79,2,0,7,2,0,0.0,0,0,0,0,0
26,10,0,0,81,2,0,7,0,0,0.0,0,0,0,0,0
