Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt
0,74,4,3,0,0,0,19,7,4,1.3333333333333333
1,64,13,5,0,0,0,18,18,11,2.2
2,62,6,10,0,0,4,18,20,2,0.14285714285714285
3,55,7,14,0,0,6,18,27,7,0.35
4,50,8,14,3,0,7,18,29,5,0.23809523809523808
5,45,9,19,3,0,7,17,35,6,0.23076923076923078
6,40,10,22,5,0,8,15,40,7,0.23333333333333334
7,37,8,21,14,0,5,15,34,3,0.11538461538461539
8,30,9,21,20,0,6,14,36,8,0.2962962962962963
9,22,12,22,24,0,6,14,40,8,0.2857142857142857
10,20,4,25,29,0,9,13,38,3,0.08823529411764706
11,17,5,23,35,0,9,11,37,5,0.15625
12,16,5,20,40,0,8,11,33,1,0.03571428571428571
13,14,3,20,47,0,6,10,29,3,0.11538461538461539
14,13,3,17,52,0,5,10,25,1,0.045454545454545456
15,13,1,11,63,0,2,10,14,0,0.0
16,13,0,9,67,0,1,10,10,0,0.0
17,12,1,8,68,0,1,10,10,1,0.1111111111111111
18,11,1,5,73,0,0,10,6,1,0.2
19,10,2,4,74,0,0,10,6,1,0.25
20,8,4,3,76,0,0,9,7,3,1.0
21,8,2,4,77,0,0,9,6,0,0.0
22,7,1,6,77,0,0,9,7,1,0.16666666666666666
23,6,2,5,78,0,0,9,7,1,0.2
24,6,0,7,78,0,0,9,7,0,0.0
25,5,1,6,79,0,0,9,7,1,0.16666666666666666
26,5,0,5,81,0,0,9,5,0,0.0
27,4,1,3,83,0,0,9,4,1,0.3333333333333333
28,4,0,4,83,0,0,9,4,0,0.0
29,4,0,2,85,0,0,9,2,0,0.0
30,4,0,2,85,0,0,9,2,0,0.0
31,3,1,1,86,0,0,9,2,1,1.0
32,3,0,2,86,0,0,9,2,0,0.0
33,3,0,1,87,0,0,9,1,0,0.0
34,3,0,1,87,0,0,9,1,0,0.0
35,3,0,1,87,0,0,9,1,0,0.0
36,3,0,1,87,0,0,9,1,0,0.0
37,3,0,0,88,0,0,9,0,0,0.0
