Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt
0,77,1,3,0,0,0,19,4,1,0.3333333333333333
1,76,2,3,0,0,0,19,5,1,0.3333333333333333
2,66,11,4,0,0,1,18,16,11,2.2
3,64,3,10,0,0,5,18,18,2,0.13333333333333333
4,60,5,9,3,0,5,18,19,4,0.2857142857142857
5,56,6,12,3,0,6,17,24,5,0.2777777777777778
6,45,15,13,3,0,8,16,36,12,0.5714285714285714
7,35,17,18,5,0,9,16,44,10,0.37037037037037035
8,32,4,24,15,0,9,16,37,3,0.09090909090909091
9,19,14,23,17,0,11,16,48,13,0.38235294117647056
10,14,14,24,21,0,11,16,49,5,0.14285714285714285
11,12,5,33,24,0,11,15,49,3,0.06818181818181818
12,12,4,29,32,0,10,13,43,2,0.05128205128205128
13,11,2,18,48,0,8,13,28,1,0.038461538461538464
14,10,1,18,51,0,7,13,26,1,0.04
15,10,1,15,56,0,6,12,22,1,0.047619047619047616
16,10,1,5,68,0,4,12,10,0,0.0
17,10,0,4,71,0,3,12,7,0,0.0
18,10,0,3,74,0,1,12,4,0,0.0
19,10,0,2,76,0,0,12,2,0,0.0
20,9,1,1,77,0,0,12,2,1,1.0
21,9,0,2,77,0,0,12,2,0,0.0
22,9,0,1,78,0,0,12,1,0,0.0
23,9,0,1,78,0,0,12,1,0,0.0
24,9,0,1,78,0,0,12,1,0,0.0
25,9,0,1,78,0,0,12,1,0,0.0
26,9,0,0,79,0,0,12,0,0,0.0
