agent_id,state,age_group,x,y
50,Recovered,child,5,5
15,Recovered,senior,7,1
30,Vaccinated,adult,19,12
54,Recovered,senior,5,15
64,Recovered,child,5,5
75,Susceptible,senior,5,16
17,Recovered,adult,10,8
66,Susceptible,adult,13,15
0,Recovered,child,5,5
69,Recovered,adult,8,5
93,Vaccinated,child,15,15
26,Recovered,child,5,5
41,Susceptible,adult,6,18
87,Recovered,adult,13,16
98,Recovered,adult,11,4
97,Vaccinated,adult,6,8
34,Recovered,child,15,15
43,Susceptible,adult,1,3
91,Vaccinated,senior,9,4
61,Recovered,senior,0,17
24,Recovered,senior,16,2
2,Recovered,adult,10,3
72,Recovered,adult,9,12
32,Recovered,senior,16,3
20,Recovered,senior,6,9
49,Recovered,child,5,5
86,Recovered,child,15,15
44,Vaccinated,senior,18,2
46,Susceptible,adult,3,3
96,Recovered,adult,2,18
21,Recovered,adult,1,16
52,Recovered,adult,4,10
85,Recovered,senior,1,2
81,Recovered,child,5,5
18,Recovered,adult,16,17
71,Recovered,child,5,5
1,Recovered,senior,17,15
11,Recovered,adult,5,10
22,Recovered,senior,4,2
3,Recovered,child,5,5
33,Recovered,child,5,5
13,Susceptible,senior,0,14
28,Recovered,adult,7,9
89,Recovered,adult,3,9
9,Recovered,adult,11,12
92,Vaccinated,adult,17,0
56,Recovered,child,15,15
78,Recovered,adult,3,13
23,Recovered,child,5,5
60,Recovered,adult,13,0
40,Recovered,child,5,5
4,Vaccinated,adult,12,2
51,Recovered,adult,9,4
38,Recovered,child,15,15
76,Recovered,child,15,15
63,Susceptible,adult,4,9
95,Recovered,senior,19,5
6,Recovered,adult,2,11
82,Recovered,adult,8,12
88,Recovered,senior,4,16
37,Recovered,senior,17,6
68,Recovered,adult,10,8
5,Recovered,child,5,5
14,Recovered,senior,16,13
90,Recovered,adult,1,17
70,Vaccinated,adult,4,10
53,Recovered,child,15,15
36,Recovered,child,5,5
79,Recovered,adult,3,17
29,Vaccinated,child,15,15
27,Recovered,adult,18,16
12,Vaccinated,adult,2,2
74,Recovered,child,15,15
59,Recovered,adult,6,19
48,Recovered,child,15,15
55,Recovered,adult,3,13
58,Recovered,child,15,15
16,Vaccinated,adult,4,11
77,Recovered,child,5,5
42,Recovered,adult,12,0
94,Recovered,adult,15,18
7,Recovered,adult,13,5
84,Recovered,adult,17,12
67,Recovered,child,15,15
73,Susceptible,senior,5,8
83,Recovered,child,15,15
62,Recovered,child,15,15
45,Susceptible,senior,5,7
10,Vaccinated,adult,10,12
65,Recovered,child,15,15
31,Recovered,child,15,15
8,Recovered,child,5,5
35,Recovered,adult,16,13
57,Recovered,adult,7,11
25,Recovered,adult,4,15
19,Recovered,adult,6,15
47,Recovered,child,5,5
39,Recovered,adult,10,8
99,Recovered,senior,10,1
80,Recovered,senior,13,5
