Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections
0,76,2,3,0,0,0,19,5,2,0.6666666666666666,0,2
1,76,1,4,0,0,0,19,5,0,0.0,0,0
2,75,1,5,0,0,0,19,6,1,0.2,0,1
3,73,2,5,0,0,1,19,8,2,0.3333333333333333,0,2
4,72,2,3,3,0,1,19,6,1,0.25,0,1
5,72,0,4,3,0,2,19,6,0,0.0,0,0
6,71,1,3,4,0,2,19,6,1,0.2,0,1
7,70,1,3,5,0,2,19,6,1,0.2,0,1
8,69,1,3,6,0,2,19,6,1,0.2,0,1
9,63,6,3,7,0,2,19,11,6,1.2,6,0
10,56,14,2,9,0,1,18,17,8,2.6666666666666665,5,3
11,52,9,6,9,0,6,18,21,4,0.3333333333333333,0,4
12,51,4,10,10,0,7,18,21,1,0.058823529411764705,1,0
13,46,9,13,11,0,7,14,29,9,0.45,5,4
14,44,7,16,12,0,8,13,31,3,0.125,2,1
15,44,3,21,12,0,9,11,33,2,0.06666666666666667,0,2
16,44,1,19,21,0,4,11,24,0,0.0,0,0
17,44,1,15,27,0,3,10,19,1,0.05555555555555555,0,1
18,44,0,13,30,1,2,10,15,0,0.0,0,0
19,33,11,9,35,1,1,10,21,11,1.1,0,11
20,32,9,6,41,1,1,10,16,1,0.14285714285714285,0,1
21,31,2,10,43,1,3,10,15,1,0.07692307692307693,0,1
22,30,2,11,44,1,3,9,16,2,0.14285714285714285,0,2
23,30,1,11,45,1,3,9,15,0,0.0,0,0
24,29,1,11,45,1,4,9,16,1,0.06666666666666667,0,1
25,28,2,9,48,1,3,9,14,1,0.08333333333333333,0,1
26,28,0,4,56,1,2,9,6,0,0.0,0,0
27,27,1,2,58,1,2,9,5,1,0.25,0,1
28,27,0,1,59,1,3,9,4,0,0.0,0,0
29,24,3,1,60,1,2,9,6,3,1.0,2,1
30,22,5,1,60,1,2,9,8,2,0.6666666666666666,2,0
31,20,3,3,62,1,2,9,8,2,0.4,1,1
32,19,1,4,62,1,4,9,9,1,0.125,1,0
33,18,3,4,63,1,3,8,10,2,0.2857142857142857,1,1
34,18,1,6,63,1,3,8,10,0,0.0,0,0
35,18,0,6,63,1,4,8,10,0,0.0,0,0
36,18,0,3,67,1,3,8,6,0,0.0,0,0
37,18,0,2,70,1,1,8,3,0,0.0,0,0
38,18,0,2,70,1,1,8,3,0,0.0,0,0
39,17,1,0,72,1,1,8,2,1,1.0,0,1
40,17,1,0,73,1,0,8,1,0,0.0,0,0
41,17,0,1,73,1,0,8,1,0,0.0,0,0
42,17,0,1,73,1,0,8,1,0,0.0,0,0
43,17,0,1,73,1,0,8,1,0,0.0,0,0
44,16,1,1,73,1,0,8,2,1,1.0,0,1
45,16,1,1,73,1,0,8,2,0,0.0,0,0
46,16,0,0,74,1,1,8,1,0,0.0,0,0
47,16,0,0,74,1,1,8,1,0,0.0,0,0
48,16,0,0,74,1,1,8,1,0,0.0,0,0
49,15,1,0,74,1,1,8,2,1,1.0,0,1
