Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections,HomeInfections,SchoolInfections,WorkInfections
0,75,3,3,0,0,0,19,6,3,1.0,1,2,3,0,0
1,75,0,5,0,0,1,19,6,0,0.0,0,0,0,0,0
2,72,4,5,0,0,1,18,10,4,0.6666666666666666,0,4,1,3,0
3,64,9,6,0,0,3,18,18,8,0.8888888888888888,0,8,0,8,0
4,60,8,6,3,0,5,18,19,4,0.36363636363636365,0,4,1,3,0
5,51,10,11,3,0,8,17,29,10,0.5263157894736842,0,10,2,3,5
6,48,9,12,6,0,9,16,30,4,0.19047619047619047,0,4,2,1,1
7,47,3,17,6,0,11,16,31,1,0.03571428571428571,0,1,1,0,0
8,45,3,16,9,0,11,16,30,2,0.07407407407407407,0,2,2,0,0
9,25,22,15,14,0,9,15,46,21,0.875,11,10,21,0,0
10,11,34,13,22,0,7,13,54,16,0.8,9,7,16,0,0
11,9,8,32,27,0,12,12,52,3,0.06818181818181818,2,1,3,0,0
12,7,6,31,34,0,13,9,50,5,0.11363636363636363,3,2,5,0,0
13,6,4,35,36,0,12,7,51,3,0.06382978723404255,1,2,3,0,0
14,5,1,37,38,0,12,7,50,1,0.02040816326530612,1,0,1,0,0
15,5,2,34,42,0,11,6,47,1,0.022222222222222223,1,0,1,0,0
16,5,0,13,71,0,5,6,18,0,0.0,0,0,0,0,0
17,5,0,9,78,0,2,6,11,0,0.0,0,0,0,0,0
18,5,0,5,83,0,1,6,6,0,0.0,0,0,0,0,0
19,5,0,1,87,0,1,6,2,0,0.0,0,0,0,0,0
20,5,0,1,87,0,1,6,2,0,0.0,0,0,0,0,0
21,5,0,0,89,0,0,6,0,0,0.0,0,0,0,0,0
