Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections,HomeInfections,SchoolInfections,WorkInfections,OtherInfections,MaskProtectedContacts,QuarantinedAgents,DetectedInfected,UndetectedInfected,LockdownActive,LockdownStartStep,SchoolClosedActive,MaskComplianceActive,TestingRateActive,QuarantineComplianceActive,WorkClosedActive,SeniorMobilityActive,ChildMobilityActive,VaccinationCampaignActive,NewVaccinations
0,3076,1,18,0,0,0,1905,19,1,0.05555555555555555,0,1,0,1,0,0,74,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
1,3075,2,18,0,0,0,1905,20,1,0.05555555555555555,0,1,0,1,0,0,102,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
2,3074,3,18,0,0,0,1905,21,1,0.05555555555555555,0,1,0,1,0,0,103,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
3,3074,3,18,0,0,0,1905,21,0,0.0,0,0,0,0,0,0,91,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
4,3074,3,18,0,0,0,1905,21,0,0.0,0,0,0,0,0,0,84,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
5,3074,3,18,0,0,0,1905,21,0,0.0,0,0,0,0,0,0,167,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
6,3073,5,18,0,0,0,1904,23,2,0.1111111111111111,0,2,0,2,0,0,109,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
7,3072,6,18,0,0,0,1904,24,1,0.05555555555555555,0,1,0,1,0,0,138,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
8,3070,8,18,0,0,0,1904,26,2,0.1111111111111111,0,2,0,2,0,0,129,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
9,3070,8,18,0,0,0,1904,26,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
10,3070,8,18,0,0,0,1904,26,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
