Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections,HomeInfections,SchoolInfections,WorkInfections,OtherInfections,MaskProtectedContacts,QuarantinedAgents,DetectedInfected,UndetectedInfected,LockdownActive,LockdownStartStep,SchoolClosedActive,MaskComplianceActive,TestingRateActive,QuarantineComplianceActive,WorkClosedActive,SeniorMobilityActive,ChildMobilityActive,VaccinationCampaignActive,NewVaccinations
0,4981,1,18,0,0,0,0,19,1,0.05555555555555555,0,1,1,0,0,0,16,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
1,4981,1,18,0,0,0,0,19,0,0.0,0,0,0,0,0,0,70,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
2,4981,1,18,0,0,0,0,19,0,0.0,0,0,0,0,0,0,67,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
3,4981,1,18,0,0,0,0,19,0,0.0,0,0,0,0,0,0,86,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
4,4981,1,18,0,0,0,0,19,0,0.0,0,0,0,0,0,0,91,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
5,4980,2,18,0,0,0,0,20,1,0.05555555555555555,0,1,0,1,0,0,96,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
6,4980,2,18,0,0,0,0,20,0,0.0,0,0,0,0,0,0,49,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
7,4980,2,18,0,0,0,0,20,0,0.0,0,0,0,0,0,0,95,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
8,4978,4,18,0,0,0,0,22,2,0.1111111111111111,0,2,0,1,1,0,113,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
9,4978,4,18,0,0,0,0,22,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
10,4978,4,18,0,0,0,0,22,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
11,4978,4,18,0,0,0,0,22,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
12,4978,4,18,0,0,0,0,22,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
13,4978,4,18,0,0,0,0,22,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
14,4978,4,18,0,0,0,0,22,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
15,4978,4,18,0,0,0,0,22,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
16,4978,4,18,0,0,0,0,22,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
17,4978,4,18,0,0,0,0,22,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
18,4978,4,18,0,0,0,0,22,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
19,4978,4,18,0,0,0,0,22,0,0.0,0,0,0,0,0,0,27,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
20,4978,4,18,0,0,0,0,22,0,0.0,0,0,0,0,0,0,64,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
21,4977,5,18,0,0,0,0,23,1,0.05555555555555555,0,1,0,1,0,0,106,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
22,4976,6,18,0,0,0,0,24,1,0.05555555555555555,0,1,0,1,0,0,55,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
23,4976,6,18,0,0,0,0,24,0,0.0,0,0,0,0,0,0,108,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
24,4975,7,18,0,0,0,0,25,1,0.05555555555555555,0,1,0,1,0,0,97,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
25,4974,8,18,0,0,0,0,26,1,0.05555555555555555,0,1,0,1,0,0,73,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
26,4974,8,18,0,0,0,0,26,0,0.0,0,0,0,0,0,0,95,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
27,4974,8,18,0,0,0,0,26,0,0.0,0,0,0,0,0,0,66,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
28,4974,8,18,0,0,0,0,26,0,0.0,0,0,0,0,0,0,67,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
29,4974,8,18,0,0,0,0,26,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
