Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections,HomeInfections,SchoolInfections,WorkInfections,OtherInfections
0,75,3,3,0,0,0,19,6,3,1.0,1,2,2,0,1,0
1,73,3,5,0,0,0,19,8,2,0.4,0,2,2,0,0,0
2,73,0,5,0,0,3,19,8,0,0.0,0,0,0,0,0,0
3,72,1,5,0,0,3,19,9,1,0.125,0,1,0,0,1,0
4,72,1,2,3,0,3,19,6,0,0.0,0,0,0,0,0,0
5,71,1,3,3,0,3,19,7,1,0.16666666666666666,0,1,0,0,1,0
6,71,1,1,5,0,3,19,5,0,0.0,0,0,0,0,0,0
7,71,0,2,8,0,0,19,2,0,0.0,0,0,0,0,0,0
8,71,0,2,8,0,0,19,2,0,0.0,0,0,0,0,0,0
9,71,0,2,8,0,0,19,2,0,0.0,0,0,0,0,0,0
10,69,2,1,9,0,0,19,3,2,2.0,2,0,2,0,0,0
11,68,3,1,9,0,0,19,4,1,1.0,1,0,1,0,0,0
12,67,1,2,10,0,1,19,4,1,0.3333333333333333,1,0,1,0,0,0
13,66,1,2,10,0,2,19,5,1,0.25,1,0,1,0,0,0
14,66,0,3,10,0,2,19,5,0,0.0,0,0,0,0,0,0
15,66,0,3,10,0,2,19,5,0,0.0,0,0,0,0,0,0
16,66,0,3,10,0,2,19,5,0,0.0,0,0,0,0,0,0
17,66,0,1,13,0,1,19,2,0,0.0,0,0,0,0,0,0
18,66,0,1,14,0,0,19,1,0,0.0,0,0,0,0,0,0
19,66,0,0,15,0,0,19,0,0,0.0,0,0,0,0,0,0
