Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections,HomeInfections,SchoolInfections,WorkInfections,OtherInfections,MaskProtectedContacts,QuarantinedAgents,DetectedInfected,UndetectedInfected,LockdownActive,LockdownStartStep,SchoolClosedActive,MaskComplianceActive,TestingRateActive,QuarantineComplianceActive,WorkClosedActive,SeniorMobilityActive,ChildMobilityActive,VaccinationCampaignActive,NewVaccinations
0,3079,1,18,0,0,0,1902,19,1,0.05555555555555555,0,1,1,0,0,0,16,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.4,1.0,0,0
1,3079,1,18,0,0,0,1902,19,0,0.0,0,0,0,0,0,0,65,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.4,1.0,0,0
2,3079,1,18,0,0,0,1902,19,0,0.0,0,0,0,0,0,0,88,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.4,1.0,0,0
3,3079,1,18,0,0,0,1902,19,0,0.0,0,0,0,0,0,0,71,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.4,1.0,0,0
4,3079,2,18,0,0,0,1901,20,1,0.05555555555555555,0,1,0,1,0,0,57,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.4,1.0,0,0
5,3076,5,18,0,0,0,1901,23,3,0.16666666666666666,0,3,0,2,1,0,72,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
6,3076,5,18,0,0,0,1901,23,0,0.0,0,0,0,0,0,0,69,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
7,3075,6,18,0,0,0,1901,24,1,0.05555555555555555,0,1,0,1,0,0,99,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
8,3075,6,18,0,0,0,1901,24,0,0.0,0,0,0,0,0,0,85,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
9,3075,6,18,0,0,0,1901,24,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
10,3075,6,18,0,0,0,1901,24,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
11,3074,7,18,0,0,0,1901,25,1,0.05555555555555555,0,1,1,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
12,3074,7,18,0,0,0,1901,25,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
13,3074,7,18,0,0,0,1901,25,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
14,3074,7,18,0,0,0,1901,25,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
15,3074,7,18,0,0,0,1901,25,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
16,3074,7,18,0,0,0,1901,25,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
17,3074,7,18,0,0,0,1901,25,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
18,3074,7,18,0,0,0,1901,25,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
19,3073,8,18,0,0,0,1901,26,1,0.05555555555555555,0,1,0,1,0,0,37,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
20,3073,8,18,0,0,0,1901,26,0,0.0,0,0,0,0,0,0,33,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
21,3073,8,18,0,0,0,1901,26,0,0.0,0,0,0,0,0,0,64,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
22,3073,8,18,0,0,0,1901,26,0,0.0,0,0,0,0,0,0,65,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
23,3073,8,18,0,0,0,1901,26,0,0.0,0,0,0,0,0,0,78,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
24,3072,9,18,0,0,0,1901,27,1,0.05555555555555555,0,1,0,1,0,0,67,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
25,3072,9,18,0,0,0,1901,27,0,0.0,0,0,0,0,0,0,76,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
26,3072,9,18,0,0,0,1901,27,0,0.0,0,0,0,0,0,0,79,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
27,3072,9,18,0,0,0,1901,27,0,0.0,0,0,0,0,0,0,95,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
28,3072,9,18,0,0,0,1901,27,0,0.0,0,0,0,0,0,0,34,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
29,3072,9,18,0,0,0,1901,27,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
30,3072,9,18,0,0,0,1901,27,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
