Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections,HomeInfections,SchoolInfections,WorkInfections,OtherInfections,MaskProtectedContacts,QuarantinedAgents,DetectedInfected,UndetectedInfected,LockdownActive,LockdownStartStep,SchoolClosedActive,MaskComplianceActive,TestingRateActive,QuarantineComplianceActive,WorkClosedActive,SeniorMobilityActive,ChildMobilityActive,VaccinationCampaignActive,NewVaccinations
0,3077,0,18,0,0,0,1905,18,0,0.0,0,0,0,0,0,0,352,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
1,3077,0,18,0,0,0,1905,18,0,0.0,0,0,0,0,0,0,650,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
2,3077,0,18,0,0,0,1905,18,0,0.0,0,0,0,0,0,0,663,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
3,3076,1,18,0,0,0,1905,19,1,0.05555555555555555,0,1,0,1,0,0,653,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
4,3075,2,18,0,0,0,1905,20,1,0.05555555555555555,0,1,0,1,0,0,783,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
5,3075,3,18,0,0,0,1904,21,1,0.05555555555555555,0,1,0,1,0,0,637,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
6,3075,3,18,0,0,0,1904,21,0,0.0,0,0,0,0,0,0,649,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
7,3075,3,18,0,0,0,1904,21,0,0.0,0,0,0,0,0,0,495,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
8,3075,3,18,0,0,0,1904,21,0,0.0,0,0,0,0,0,0,481,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
9,3075,3,18,0,0,0,1904,21,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
10,3075,3,18,0,0,0,1904,21,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
11,3075,3,18,0,0,0,1904,21,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
12,3075,3,18,0,0,0,1904,21,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
13,3075,3,18,0,0,0,1904,21,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
14,3075,3,18,0,0,0,1904,21,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
15,3075,3,18,0,0,0,1904,21,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
16,3075,3,18,0,0,0,1904,21,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
17,3075,3,18,0,0,0,1904,21,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
18,3075,3,18,0,0,0,1904,21,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
