Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt
0,78,0,3,0,0,0,19,3,0,0.0
1,78,0,3,0,0,0,19,3,0,0.0
2,73,5,3,0,0,0,19,8,5,1.6666666666666667
3,71,6,3,0,0,1,19,10,2,0.5
4,70,2,5,3,0,2,18,9,2,0.2857142857142857
5,65,7,6,3,0,2,17,15,6,0.75
6,64,5,8,3,0,4,16,17,2,0.16666666666666666
7,59,6,10,3,0,6,16,22,5,0.3125
8,59,4,13,4,0,5,15,22,1,0.05555555555555555
9,37,23,10,10,0,5,15,38,22,1.4666666666666666
10,26,25,15,11,0,8,15,48,11,0.4782608695652174
11,14,18,29,15,0,10,14,57,13,0.3333333333333333
12,11,10,39,19,0,9,12,58,5,0.10416666666666667
13,11,3,42,22,0,11,11,56,1,0.018867924528301886
14,11,5,40,25,0,12,7,57,4,0.07692307692307693
15,11,4,34,34,0,12,5,50,2,0.043478260869565216
16,11,2,19,54,0,9,5,30,0,0.0
17,11,0,9,67,0,8,5,17,0,0.0
18,11,0,3,74,1,6,5,9,0,0.0
19,10,1,3,76,1,4,5,8,1,0.14285714285714285
20,10,1,3,79,1,1,5,5,0,0.0
21,10,0,2,81,1,1,5,3,0,0.0
22,10,0,0,83,1,1,5,1,0,0.0
23,10,0,0,83,1,1,5,1,0,0.0
24,10,0,0,83,1,1,5,1,0,0.0
25,10,0,0,83,1,1,5,1,0,0.0
26,10,0,0,84,1,0,5,0,0,0.0
