Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections,HomeInfections,SchoolInfections,WorkInfections
0,71,7,3,0,0,0,19,10,7,2.3333333333333335,1,6,6,0,10
1,69,6,4,0,0,2,19,12,2,0.3333333333333333,0,2,3,0,0
2,54,16,9,0,0,3,18,28,16,1.3333333333333333,0,16,0,13,20
3,47,18,10,0,0,7,18,35,7,0.4117647058823529,1,6,4,17,4
4,44,9,14,3,0,13,17,36,4,0.14814814814814814,0,4,4,21,3
5,38,8,20,3,0,14,17,42,6,0.17647058823529413,0,6,8,30,6
6,35,10,20,6,0,13,16,43,4,0.12121212121212122,0,4,9,20,7
7,31,7,20,12,0,15,15,42,5,0.14285714285714285,0,5,6,20,9
8,29,4,23,17,0,12,15,39,2,0.05714285714285714,0,2,3,13,9
9,16,14,20,30,0,6,14,40,14,0.5384615384615384,12,2,47,0,0
10,8,24,15,37,0,5,11,44,11,0.55,9,2,41,0,0
11,4,9,26,39,0,11,11,46,4,0.10810810810810811,4,0,23,0,0
12,2,7,27,47,0,9,8,43,5,0.1388888888888889,2,3,30,0,0
13,2,0,28,52,0,10,8,38,0,0.0,0,0,22,0,0
14,2,3,24,56,0,10,5,37,3,0.08823529411764706,1,2,24,0,0
15,2,0,25,57,0,11,5,36,0,0.0,0,0,16,0,0
16,2,1,13,76,0,4,4,18,1,0.058823529411764705,0,1,17,0,0
17,2,2,7,83,0,3,3,12,1,0.1,0,1,6,0,0
18,2,1,3,90,0,1,3,5,0,0.0,0,0,3,0,0
19,2,0,3,90,0,2,3,5,0,0.0,0,0,1,0,0
20,1,1,1,93,0,1,3,3,1,0.5,0,1,1,0,1
21,1,0,1,93,0,2,3,3,0,0.0,0,0,1,0,0
22,1,0,1,93,0,2,3,3,0,0.0,0,0,0,0,0
23,1,0,0,94,0,2,3,2,0,0.0,0,0,1,0,0
24,1,0,0,95,0,1,3,1,0,0.0,0,0,0,0,0
25,1,0,0,95,0,1,3,1,0,0.0,0,0,0,0,0
26,1,0,0,96,0,0,3,0,0,0.0,0,0,0,0,0
