Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections,HomeInfections,SchoolInfections,WorkInfections,OtherInfections
0,77,1,3,0,0,0,19,4,1,0.3333333333333333,1,0,1,0,0,0
1,70,8,4,0,0,0,18,12,8,2.0,0,8,0,7,1,0
2,67,3,11,0,0,1,18,15,3,0.25,0,3,1,2,0,0
3,65,4,11,0,0,2,18,17,2,0.15384615384615385,0,2,0,1,1,0
4,59,7,11,3,0,3,17,21,7,0.5,1,6,6,1,0,0
5,54,11,14,3,0,3,15,28,7,0.4117647058823529,1,6,5,1,1,0
6,51,8,17,4,0,5,15,30,3,0.13636363636363635,1,2,3,0,0,0
7,43,10,14,12,0,7,14,31,9,0.42857142857142855,0,9,7,2,0,0
8,40,11,15,13,0,8,13,34,4,0.17391304347826086,0,4,3,1,0,0
9,32,11,18,17,0,10,12,39,9,0.32142857142857145,7,2,9,0,0,0
10,15,26,17,20,0,10,12,53,17,0.6296296296296297,12,5,17,0,0,0
11,11,13,23,26,0,15,12,51,4,0.10526315789473684,3,1,4,0,0,0
12,9,2,26,33,0,18,12,46,2,0.045454545454545456,0,2,2,0,0,0
13,6,5,25,36,0,17,11,47,4,0.09523809523809523,0,4,4,0,0,0
14,6,4,20,45,0,15,10,39,1,0.02857142857142857,0,1,1,0,0,0
15,6,5,19,47,0,17,6,41,4,0.1111111111111111,3,1,4,0,0,0
16,6,1,12,64,0,11,6,24,0,0.0,0,0,0,0,0,0
17,6,0,6,77,0,5,6,11,0,0.0,0,0,0,0,0,0
18,6,0,6,78,0,4,6,10,0,0.0,0,0,0,0,0,0
19,6,1,5,80,0,3,5,9,1,0.125,0,1,1,0,0,0
20,5,2,4,83,0,1,5,7,1,0.2,0,1,0,0,1,0
21,5,1,2,87,0,0,5,3,0,0.0,0,0,0,0,0,0
22,5,0,2,88,0,0,5,2,0,0.0,0,0,0,0,0,0
23,5,0,2,88,0,0,5,2,0,0.0,0,0,0,0,0,0
24,5,0,2,88,0,0,5,2,0,0.0,0,0,0,0,0,0
25,5,0,2,88,0,0,5,2,0,0.0,0,0,0,0,0,0
26,5,0,1,89,0,0,5,1,0,0.0,0,0,0,0,0,0
27,5,0,0,90,0,0,5,0,0,0.0,0,0,0,0,0,0
