Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections,HomeInfections,SchoolInfections,WorkInfections,OtherInfections,MaskProtectedContacts,QuarantinedAgents,DetectedInfected,UndetectedInfected,LockdownActive,LockdownStartStep,SchoolClosedActive,MaskComplianceActive,TestingRateActive,QuarantineComplianceActive,WorkClosedActive,SeniorMobilityActive,ChildMobilityActive,VaccinationCampaignActive,NewVaccinations
0,3113,0,18,0,0,0,1869,18,0,0.0,0,0,0,0,0,0,216,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
1,3113,0,18,0,0,0,1869,18,0,0.0,0,0,0,0,0,0,628,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
2,3113,0,18,0,0,0,1869,18,0,0.0,0,0,0,0,0,0,844,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
3,3112,1,18,0,0,0,1869,19,1,0.05555555555555555,0,1,0,1,0,0,485,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
4,3112,1,18,0,0,0,1869,19,0,0.0,0,0,0,0,0,0,515,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
5,3110,3,18,0,0,0,1869,21,2,0.1111111111111111,0,2,0,2,0,0,493,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
6,3110,4,18,0,0,0,1868,22,1,0.05555555555555555,0,1,0,1,0,0,662,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
7,3110,4,18,0,0,0,1868,22,0,0.0,0,0,0,0,0,0,663,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
8,3110,4,18,0,0,0,1868,22,0,0.0,0,0,0,0,0,0,636,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
9,3110,4,18,0,0,0,1868,22,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
10,3110,4,18,0,0,0,1868,22,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
11,3110,4,18,0,0,0,1868,22,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
12,3110,4,18,0,0,0,1868,22,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
13,3110,4,18,0,0,0,1868,22,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
14,3110,4,18,0,0,0,1868,22,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
15,3110,4,18,0,0,0,1868,22,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
16,3110,4,18,0,0,0,1868,22,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
17,3110,4,18,0,0,0,1868,22,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
18,3110,4,18,0,0,0,1868,22,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
19,3110,4,18,0,0,0,1868,22,0,0.0,0,0,0,0,0,0,335,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
20,3109,5,18,0,0,0,1868,23,1,0.05555555555555555,0,1,0,1,0,0,840,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
21,3109,5,18,0,0,0,1868,23,0,0.0,0,0,0,0,0,0,787,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
22,3109,5,18,0,0,0,1868,23,0,0.0,0,0,0,0,0,0,796,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
23,3109,5,18,0,0,0,1868,23,0,0.0,0,0,0,0,0,0,668,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
24,3109,5,18,0,0,0,1868,23,0,0.0,0,0,0,0,0,0,320,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
25,3109,5,18,0,0,0,1868,23,0,0.0,0,0,0,0,0,0,829,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
26,3109,5,18,0,0,0,1868,23,0,0.0,0,0,0,0,0,0,357,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
27,3109,5,18,0,0,0,1868,23,0,0.0,0,0,0,0,0,0,796,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
28,3109,5,18,0,0,0,1868,23,0,0.0,0,0,0,0,0,0,479,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
29,3109,5,18,0,0,0,1868,23,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
30,3109,5,18,0,0,0,1868,23,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
31,3109,5,18,0,0,0,1868,23,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
32,3109,5,18,0,0,0,1868,23,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
33,3108,6,18,0,0,0,1868,24,1,0.05555555555555555,0,1,1,0,0,0,0,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
34,3108,6,18,0,0,0,1868,24,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
35,3108,6,18,0,0,0,1868,24,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
36,3108,6,18,0,0,0,1868,24,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
37,3108,6,18,0,0,0,1868,24,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
38,3108,6,18,0,0,0,1868,24,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
39,3108,6,18,0,0,0,1868,24,0,0.0,0,0,0,0,0,0,212,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
40,3108,6,18,0,0,0,1868,24,0,0.0,0,0,0,0,0,0,661,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
41,3108,6,18,0,0,0,1868,24,0,0.0,0,0,0,0,0,0,824,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
42,3108,6,18,0,0,0,1868,24,0,0.0,0,0,0,0,0,0,199,0,0,18,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
43,3108,5,19,0,0,0,1868,24,0,0.0,0,0,0,0,0,0,631,0,0,19,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
44,3108,4,20,0,0,0,1868,24,0,0.0,0,0,0,0,0,0,821,0,0,20,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
45,3108,3,20,0,0,1,1868,24,0,0.0,0,0,0,0,0,0,654,0,0,20,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
46,3108,3,21,0,0,1,1867,25,1,0.045454545454545456,0,1,0,0,1,0,966,0,0,21,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
47,3107,5,21,0,0,1,1866,27,2,0.09090909090909091,0,2,0,2,0,0,960,0,0,21,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
48,3107,5,21,0,0,1,1866,27,0,0.0,0,0,0,0,0,0,956,0,0,21,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
49,3107,5,21,0,0,1,1866,27,0,0.0,0,0,0,0,0,0,0,0,0,21,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
50,3107,5,21,0,0,1,1866,27,0,0.0,0,0,0,0,0,0,0,0,0,21,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
51,3107,5,21,0,0,1,1866,27,0,0.0,0,0,0,0,0,0,0,0,0,21,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
52,3107,5,21,0,0,1,1866,27,0,0.0,0,0,0,0,0,0,0,0,0,21,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
53,3107,5,21,0,0,1,1866,27,0,0.0,0,0,0,0,0,0,0,0,0,21,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
54,3107,5,21,0,0,1,1866,27,0,0.0,0,0,0,0,0,0,0,0,0,21,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
55,3107,5,21,0,0,1,1866,27,0,0.0,0,0,0,0,0,0,0,0,0,21,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
56,3107,5,21,0,0,1,1866,27,0,0.0,0,0,0,0,0,0,0,0,0,21,0,-1,0,0.75,0.15,0.3,0,0.65,1.0,0,0
