Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections,HomeInfections,SchoolInfections,WorkInfections,OtherInfections
0,77,1,3,0,0,0,19,4,1,0.3333333333333333,0,1,1,0,0,0
1,77,1,3,0,0,0,19,4,0,0.0,0,0,0,0,0,0
2,77,0,4,0,0,0,19,4,0,0.0,0,0,0,0,0,0
3,76,1,4,0,0,0,19,5,1,0.25,0,1,1,0,0,0
4,75,1,2,3,0,0,19,3,1,0.5,0,1,1,0,0,0
5,75,1,2,3,0,0,19,3,0,0.0,0,0,0,0,0,0
6,74,1,3,3,0,0,19,4,1,0.3333333333333333,0,1,1,0,0,0
7,73,2,2,4,0,0,19,4,1,0.5,0,1,1,0,0,0
8,73,1,3,4,0,0,19,4,0,0.0,0,0,0,0,0,0
9,71,2,2,5,0,1,19,5,2,0.6666666666666666,2,0,2,0,0,0
10,67,7,2,5,0,1,18,10,5,1.6666666666666667,2,3,5,0,0,0
11,66,2,5,6,0,3,18,10,1,0.125,1,0,1,0,0,0
12,62,6,6,6,0,3,17,15,5,0.5555555555555556,3,2,5,0,0,0
13,61,3,9,7,0,3,17,15,1,0.08333333333333333,1,0,1,0,0,0
14,61,1,11,8,0,2,17,14,0,0.0,0,0,0,0,0,0
15,61,1,12,8,0,2,16,15,1,0.07142857142857142,0,1,1,0,0,0
16,61,1,8,14,0,0,16,9,0,0.0,0,0,0,0,0,0
17,61,0,7,15,0,1,16,8,0,0.0,0,0,0,0,0,0
18,61,0,3,19,0,1,16,4,0,0.0,0,0,0,0,0,0
19,59,2,1,21,0,1,16,4,2,1.0,0,2,0,2,0,0
20,57,4,0,22,0,1,16,5,2,2.0,0,2,0,2,0,0
21,52,8,2,22,0,1,15,11,6,2.0,0,6,0,6,0,0
22,48,8,4,23,0,2,15,14,4,0.6666666666666666,0,4,1,3,0,0
23,46,2,12,23,0,2,15,16,2,0.14285714285714285,0,2,1,1,0,0
24,42,4,13,23,0,3,15,20,4,0.25,0,4,4,0,0,0
25,41,2,15,23,0,4,15,21,1,0.05263157894736842,0,1,1,0,0,0
26,39,3,13,25,0,5,15,21,2,0.1111111111111111,0,2,2,0,0,0
27,39,0,14,29,0,3,15,17,0,0.0,0,0,0,0,0,0
28,39,0,6,37,0,3,15,9,0,0.0,0,0,0,0,0,0
29,32,9,5,39,0,2,13,16,9,1.2857142857142858,6,3,9,0,0,0
30,28,11,5,42,0,1,13,17,4,0.6666666666666666,2,2,4,0,0,0
31,25,7,12,43,0,1,12,20,4,0.3076923076923077,4,0,4,0,0,0
32,21,7,11,46,0,3,12,21,4,0.2857142857142857,4,0,4,0,0,0
33,21,2,13,46,0,6,12,21,0,0.0,0,0,0,0,0,0
34,20,2,14,46,0,7,11,23,2,0.09523809523809523,2,0,2,0,0,0
35,20,1,13,48,0,7,11,21,0,0.0,0,0,0,0,0,0
36,20,1,7,56,0,6,10,14,1,0.07692307692307693,1,0,1,0,0,0
37,20,0,6,60,0,4,10,10,0,0.0,0,0,0,0,0,0
38,20,0,4,65,0,1,10,5,0,0.0,0,0,0,0,0,0
39,17,3,3,67,0,0,10,6,3,1.0,0,3,1,0,2,0
40,17,3,2,68,0,0,10,5,0,0.0,0,0,0,0,0,0
41,16,1,3,69,0,1,10,5,1,0.25,0,1,0,0,1,0
42,13,3,3,70,0,1,10,7,3,0.75,0,3,0,3,0,0
43,12,1,5,70,0,2,10,8,1,0.14285714285714285,0,1,0,0,1,0
44,12,0,5,70,0,3,10,8,0,0.0,0,0,0,0,0,0
45,12,0,5,70,0,3,10,8,0,0.0,0,0,0,0,0,0
46,12,1,3,73,0,2,9,6,1,0.2,0,1,0,1,0,0
47,12,0,3,74,0,2,9,5,0,0.0,0,0,0,0,0,0
48,11,1,1,77,0,1,9,3,1,0.5,0,1,0,0,1,0
49,10,2,1,78,0,0,9,3,1,1.0,0,1,1,0,0,0
