Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections,HomeInfections,SchoolInfections,WorkInfections,OtherInfections,MaskProtectedContacts,QuarantinedAgents,DetectedInfected,UndetectedInfected,LockdownActive,LockdownStartStep,SchoolClosedActive,MaskComplianceActive,TestingRateActive,QuarantineComplianceActive,WorkClosedActive,SeniorMobilityActive,ChildMobilityActive,VaccinationCampaignActive,NewVaccinations
0,3131,2,18,0,0,0,1849,20,2,0.1111111111111111,0,2,0,2,0,0,31,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.4,1.0,0,0
1,3131,2,18,0,0,0,1849,20,0,0.0,0,0,0,0,0,0,68,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
2,3130,3,18,0,0,0,1849,21,1,0.05555555555555555,0,1,0,1,0,0,91,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
3,3130,3,18,0,0,0,1849,21,0,0.0,0,0,0,0,0,0,101,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
4,3130,3,18,0,0,0,1849,21,0,0.0,0,0,0,0,0,0,76,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
5,3129,5,18,0,0,0,1848,23,2,0.1111111111111111,0,2,0,2,0,0,83,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
6,3128,6,18,0,0,0,1848,24,1,0.05555555555555555,0,1,0,1,0,0,86,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
7,3128,6,18,0,0,0,1848,24,0,0.0,0,0,0,0,0,0,82,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
8,3128,6,18,0,0,0,1848,24,0,0.0,0,0,0,0,0,0,67,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
9,3128,6,18,0,0,0,1848,24,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
10,3128,6,18,0,0,0,1848,24,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
11,3128,6,18,0,0,0,1848,24,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
12,3128,6,18,0,0,0,1848,24,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
13,3128,6,18,0,0,0,1848,24,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
14,3128,6,18,0,0,0,1848,24,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
15,3128,6,18,0,0,0,1848,24,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
16,3128,6,18,0,0,0,1848,24,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
17,3128,6,18,0,0,0,1848,24,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
18,3127,7,18,0,0,0,1848,25,1,0.05555555555555555,0,1,1,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
19,3126,8,18,0,0,0,1848,26,1,0.05555555555555555,0,1,0,1,0,0,54,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
20,3125,10,18,0,0,0,1847,28,2,0.1111111111111111,0,2,0,2,0,0,28,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
21,3125,10,18,0,0,0,1847,28,0,0.0,0,0,0,0,0,0,88,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
22,3125,10,18,0,0,0,1847,28,0,0.0,0,0,0,0,0,0,62,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
23,3125,10,18,0,0,0,1847,28,0,0.0,0,0,0,0,0,0,84,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
24,3125,10,18,0,0,0,1847,28,0,0.0,0,0,0,0,0,0,38,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
25,3125,10,18,0,0,0,1847,28,0,0.0,0,0,0,0,0,0,64,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
26,3125,10,18,0,0,0,1847,28,0,0.0,0,0,0,0,0,0,94,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
27,3125,10,18,0,0,0,1847,28,0,0.0,0,0,0,0,0,0,41,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
28,3125,10,18,0,0,0,1847,28,0,0.0,0,0,0,0,0,0,75,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
29,3125,10,18,0,0,0,1847,28,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
30,3124,11,18,0,0,0,1847,29,1,0.05555555555555555,0,1,1,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
31,3124,11,18,0,0,0,1847,29,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
32,3124,11,18,0,0,0,1847,29,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
33,3124,11,18,0,0,0,1847,29,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.15,1.0,0,0
