Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections
0,77,1,3,0,0,0,19,4,1,0.3333333333333333,1,0
1,77,0,4,0,0,0,19,4,0,0.0,0,0
2,76,1,4,0,0,0,19,5,1,0.25,0,1
3,76,1,4,0,0,0,19,5,0,0.0,0,0
4,76,0,2,3,0,0,19,2,0,0.0,0,0
5,76,0,2,3,0,0,19,2,0,0.0,0,0
6,75,1,1,4,0,0,19,2,1,1.0,0,1
7,75,1,1,4,0,0,19,2,0,0.0,0,0
8,75,0,2,4,0,0,19,2,0,0.0,0,0
9,74,1,1,5,0,0,19,2,1,1.0,0,1
10,72,2,2,5,0,0,19,4,2,1.0,0,2
11,68,6,2,5,0,1,18,9,5,1.6666666666666667,3,2
12,65,5,5,5,0,2,18,12,3,0.42857142857142855,3,0
13,65,2,6,6,0,3,18,11,0,0.0,0,0
14,65,0,8,6,0,3,18,11,0,0.0,0,0
15,65,0,7,7,0,3,18,10,0,0.0,0,0
16,65,0,7,8,0,2,18,9,0,0.0,0,0
17,65,0,4,12,0,1,18,5,0,0.0,0,0
18,65,0,2,15,0,0,18,2,0,0.0,0,0
19,64,1,0,17,0,0,18,1,1,1.0,0,1
20,64,1,0,17,0,0,18,1,0,0.0,0,0
21,64,0,1,17,0,0,18,1,0,0.0,0,0
22,64,0,1,17,0,0,18,1,0,0.0,0,0
23,64,0,1,17,0,0,18,1,0,0.0,0,0
24,64,0,1,17,0,0,18,1,0,0.0,0,0
25,64,0,1,17,0,0,18,1,0,0.0,0,0
26,64,0,0,18,0,0,18,0,0,0.0,0,0
