Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections
0,75,3,3,0,0,0,19,6,3,1.0,1,2
1,75,2,3,0,0,1,19,6,0,0.0,0,0
2,72,3,4,0,0,2,19,9,3,0.5,0,3
3,68,5,5,0,0,4,18,14,5,0.5555555555555556,0,5
4,64,8,3,3,0,4,18,15,4,0.5714285714285714,0,4
5,64,3,7,3,0,5,18,15,0,0.0,0,0
6,64,0,9,4,0,5,18,14,0,0.0,0,0
7,60,4,8,6,0,4,18,16,4,0.3333333333333333,0,4
8,59,3,8,9,0,3,18,14,1,0.09090909090909091,0,1
9,45,16,9,10,0,3,17,28,15,1.25,10,5
10,35,24,7,15,0,2,17,33,10,1.1111111111111112,7,3
11,31,8,21,18,0,5,17,34,4,0.15384615384615385,3,1
12,30,6,24,18,0,8,14,38,4,0.125,3,1
13,30,4,23,20,0,9,14,36,0,0.0,0,0
14,30,3,22,22,0,12,11,37,3,0.08823529411764706,0,3
15,30,2,21,24,0,12,11,35,0,0.0,0,0
16,30,0,6,44,0,9,11,15,0,0.0,0,0
17,30,0,3,50,0,6,11,9,0,0.0,0,0
18,30,0,3,52,0,4,11,7,0,0.0,0,0
19,27,3,2,56,0,1,11,6,3,1.0,0,3
20,25,5,1,57,0,1,11,7,2,1.0,0,2
21,24,1,1,59,0,4,11,6,1,0.2,0,1
22,23,2,1,59,0,5,10,8,2,0.3333333333333333,0,2
23,23,0,2,59,0,6,10,8,0,0.0,0,0
24,23,0,2,59,0,6,10,8,0,0.0,0,0
25,23,0,2,59,0,6,10,8,0,0.0,0,0
26,23,0,1,64,0,2,10,3,0,0.0,0,0
27,23,0,1,65,0,1,10,2,0,0.0,0,0
28,23,0,0,67,0,0,10,0,0,0.0,0,0
