agent_id,state,age_group,x,y,household_id
21,Susceptible,senior,11,10,H_10_18
32,Recovered,adult,14,16,H_17_7
22,Vaccinated,adult,17,12,H_11_10
71,Recovered,child,5,5,H_19_17
59,Vaccinated,adult,12,12,H_18_11
34,Recovered,adult,5,19,H_7_5
69,Recovered,senior,4,6,H_16_2
28,Recovered,adult,10,19,H_7_16
51,Susceptible,adult,8,10,H_9_19
84,Recovered,adult,12,6,H_18_0
10,Vaccinated,adult,9,12,H_1_5
89,Recovered,child,5,5,H_17_10
37,Recovered,adult,9,18,H_16_14
54,Susceptible,senior,15,10,H_8_11
30,Vaccinated,adult,16,6,H_11_9
77,Recovered,child,5,5,H_17_2
74,Susceptible,adult,13,13,H_9_6
53,Susceptible,adult,12,15,H_11_18
52,Recovered,adult,5,5,H_13_12
24,Recovered,child,15,15,H_19_2
60,Susceptible,adult,9,15,H_5_2
64,Recovered,adult,8,4,H_17_0
91,Recovered,adult,6,15,H_18_10
73,Recovered,adult,17,10,H_0_16
88,Recovered,senior,15,13,H_12_14
96,Recovered,adult,16,2,H_2_9
42,Recovered,adult,7,6,H_4_0
0,Recovered,adult,7,7,H_3_14
92,Vaccinated,adult,15,13,H_13_14
23,Recovered,adult,4,17,H_8_16
61,Vaccinated,adult,17,16,H_4_16
58,Recovered,adult,12,0,H_0_8
50,Recovered,child,15,15,H_7_15
12,Recovered,adult,15,0,H_12_13
76,Susceptible,adult,13,3,H_12_10
44,Vaccinated,adult,1,7,H_15_1
40,Recovered,child,5,5,H_19_10
20,Recovered,adult,5,14,H_3_15
9,Susceptible,adult,8,1,H_19_18
99,Recovered,child,5,5,H_2_15
17,Recovered,child,5,5,H_0_16
36,Recovered,adult,12,1,H_13_8
68,Recovered,senior,12,4,H_17_10
48,Susceptible,adult,4,2,H_3_2
93,Recovered,adult,16,15,H_3_17
86,Recovered,adult,2,7,H_11_19
47,Recovered,child,5,5,H_5_5
8,Recovered,adult,15,3,H_13_3
56,Recovered,adult,3,19,H_7_2
2,Recovered,child,5,5,H_10_12
78,Recovered,adult,13,7,H_1_11
13,Recovered,senior,16,6,H_3_7
14,Recovered,senior,7,3,H_15_2
57,Recovered,adult,4,10,H_11_4
27,Recovered,adult,14,18,H_13_8
6,Recovered,adult,13,18,H_19_9
67,Susceptible,adult,9,9,H_3_11
38,Recovered,adult,7,1,H_1_7
79,Recovered,adult,3,12,H_11_3
18,Recovered,senior,3,3,H_12_3
29,Recovered,child,15,15,H_3_15
19,Recovered,child,5,5,H_5_10
90,Susceptible,senior,18,6,H_3_4
15,Vaccinated,adult,10,8,H_9_19
80,Recovered,adult,10,17,H_5_18
65,Recovered,child,5,5,H_16_2
33,Recovered,adult,18,0,H_7_16
39,Recovered,adult,19,16,H_8_3
35,Recovered,senior,15,8,H_19_9
95,Recovered,senior,14,2,H_6_5
31,Recovered,child,5,5,H_5_19
16,Vaccinated,senior,15,1,H_16_17
55,Susceptible,adult,15,9,H_4_2
75,Dead,senior,16,15,H_16_15
26,Recovered,child,15,15,H_10_10
72,Recovered,child,15,15,H_1_10
43,Recovered,child,5,5,H_16_14
94,Recovered,child,5,5,H_19_19
66,Recovered,senior,12,16,H_16_3
83,Recovered,adult,7,14,H_17_17
3,Recovered,adult,17,9,H_18_16
45,Recovered,adult,2,14,H_9_6
46,Recovered,child,15,15,H_19_0
85,Recovered,senior,11,8,H_19_1
41,Susceptible,senior,14,8,H_3_3
98,Susceptible,adult,16,7,H_14_10
11,Recovered,adult,7,2,H_2_13
5,Recovered,senior,15,8,H_1_7
63,Susceptible,adult,6,17,H_14_14
87,Recovered,adult,3,7,H_15_19
70,Vaccinated,senior,5,2,H_0_0
81,Dead,adult,19,13,H_19_13
1,Recovered,senior,19,15,H_10_17
25,Recovered,child,15,15,H_15_18
49,Vaccinated,adult,4,8,H_19_3
97,Vaccinated,senior,12,2,H_8_4
7,Susceptible,adult,13,10,H_11_16
62,Recovered,adult,15,0,H_1_17
4,Vaccinated,adult,2,6,H_19_14
82,Recovered,adult,2,12,H_2_8
