Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt
0,66,12,3,0,0,0,19,15,12,4.0
1,62,15,3,0,0,1,19,19,4,1.0
2,61,2,11,0,0,7,19,20,1,0.05555555555555555
3,54,8,12,0,0,7,19,27,7,0.3684210526315789
4,49,9,12,3,0,9,18,30,6,0.2857142857142857
5,47,6,17,3,0,11,16,34,4,0.14285714285714285
6,42,8,18,4,0,12,16,38,5,0.16666666666666666
7,37,7,13,18,0,9,16,29,5,0.22727272727272727
8,36,6,15,19,0,10,14,31,3,0.12
9,30,7,18,24,0,8,13,33,7,0.2692307692307692
10,22,11,16,31,0,7,13,34,8,0.34782608695652173
11,21,4,21,34,0,7,13,32,1,0.03571428571428571
12,18,4,18,40,0,7,13,29,3,0.12
13,17,2,17,44,0,7,13,26,1,0.041666666666666664
14,17,0,13,48,2,7,13,20,0,0.0
15,17,0,10,52,2,6,13,16,0,0.0
16,17,0,4,60,2,4,13,8,0,0.0
17,17,0,4,63,2,1,13,5,0,0.0
18,17,0,2,66,2,0,13,2,0,0.0
19,16,1,0,68,2,0,13,1,1,1.0
20,16,1,0,68,2,0,13,1,0,0.0
21,16,0,1,68,2,0,13,1,0,0.0
22,16,0,1,68,2,0,13,1,0,0.0
23,16,0,1,68,2,0,13,1,0,0.0
24,16,0,1,68,2,0,13,1,0,0.0
25,16,0,1,68,2,0,13,1,0,0.0
26,16,0,0,69,2,0,13,0,0,0.0
